rating,reviews,sentiment,country,company
3,good service,Positive,ID,JNE
5,familiar shipping company,Neutral,ID,JNE
5,hoped staff friendly huh,Positive,ID,JNE
5,mba helpful providing lot info good banged friendly n always like send using jne thanks mba e forgot whose name ...,Positive,ID,JNE
4,friendly service,Positive,ID,JNE
2,cant contacted bad,Positive,ID,JNE
4,good,Positive,ID,JNE
1,service really bad waited day package doesnt move instead sorting process start ...,Negative,ID,JNE
5,jne good delivery packet around indonesia jne ago old good company,Positive,ID,JNE
1,stupid taken package around indonesia one month ...,Negative,ID,JNE
5,safe enough send package good service quite friendly clear ...,Positive,ID,JNE
1,jne never worked slowly good period jakarta delayed day place right thing consumer satisfied ...,Negative,ID,JNE
1,item sent incorrectly even though recipient complete address must fadjar mahardhika even fadil solution correct courier even though cellphone number ...,Positive,ID,JNE
1,mf package come havent given receipt number even though already cream insurance every time ask receipt number keep giving ...,Positive,ID,JNE
2,long time customer hurried away detrimental,Neutral,ID,JNE
1,delivery good area take day arrive ...,Positive,ID,JNE
5,okay service,Positive,ID,JNE
5,traffic jam,Neutral,ID,JNE
5,friendly informative solution fast comfortable service ...,Positive,ID,JNE
1,difficult call jne anywhere,Negative,ID,JNE
1,please repair bureaucracy customer disappointed ...,Negative,ID,JNE
1,movementa slow,Neutral,ID,JNE
4,one busiest courier nearby area service ok sometimes need liaise government body custom tax send something,Positive,ID,JNE
5,nice one officer really fussy ...,Positive,ID,JNE
1,sent good october november medan didnt arrive really jne customer service said would ask let u know called time thats answer ...,Positive,ID,JNE
5,good service informative,Positive,ID,JNE
1,bad,Negative,ID,JNE
5,good service,Positive,ID,JNE
1,geez jne really slow order good lazada hold month order good september havent arrived thing shop really fast still queued ...,Positive,ID,JNE
1,worst delivery service batam missing item dont know recipient ...,Negative,ID,JNE
1,please jne batam dont make name jne bad pay dearly day day good havent shipped cant professional better close look new employee ...,Positive,ID,JNE
5,responsive,Positive,ID,JNE
5,great stuff cheap price,Positive,ID,JNE
5,good service,Positive,ID,JNE
3,easy find,Positive,ID,JNE
1,unsatisfactory service,Neutral,ID,JNE
1,want check true nm deni sofyan wa courier jne batam jl gajah mada tiban sekupang ...,Positive,ID,JNE
1,come sent july received jne july doesnt move thats already month already package lost replace money worth ten thousand ...,Negative,ID,JNE
1,really slow dont intend close,Neutral,ID,JNE
1,package monday today moved status still sorting process want arrive bought ...,Positive,ID,JNE
5,fast response,Neutral,ID,JNE
1,rotten week motion dsini teros,Negative,ID,JNE
5,father,Neutral,ID,JNE
1,ordered good august arrived batam dufah august yet arrived natuna even though estimate arrive later august whats going ...,Positive,ID,JNE
1,think one experienced delay package delivery turn review bought good online shop process fast starting february ...,Positive,ID,JNE
5,want take package directly contact call center first booking take send old package sender data often made lie ...,Positive,ID,JNE
4,best logistics courier ever use,Positive,ID,JNE
1,bad package update reason corona aseeeem want sworn ...,Negative,ID,JNE
1,crazy package didnt go,Negative,ID,JNE
1,bad waiter old stuff reach destination,Negative,ID,JNE
1,month package isnt finished,Neutral,ID,JNE
1,wrong batam cirebon trace status still process day ...,Negative,ID,JNE
5,good,Positive,ID,JNE
1,package sent wednesday thursday used jne yes come time arrived day package track reached batam ...,Positive,ID,JNE
5,friendly officer,Positive,ID,JNE
1,assalamualaikum package day still batam doesnt move motion process writing batam bandung day still batam day ...,Neutral,ID,JNE
5,central place city batam friendly service clear information conveyed regarding financing charged sent batam ...,Positive,ID,JNE
1,already seven today dear jne batam status still moving batam go batam get thing wake employee afraid ...,Positive,ID,JNE
1,come hasnt come n changed already day batam warehouse status jne batam ni im watching korea something transportation smooth ...,Neutral,ID,JNE
1,slow,Neutral,ID,JNE
2,penitent send brg tax money shipping,Neutral,ID,JNE
1,good batam tanjungpinang arrived yet already arrived june come status still like motion want send ...,Positive,ID,JNE
1,delivery good almost week estimated day ...,Positive,ID,JNE
1,worse jne send item already week package move swear use jne better use expedition j ...,Negative,ID,JNE
1,doc didnt arrive status received,Neutral,ID,JNE
1,much,Neutral,ID,JNE
1,point package changed week,Neutral,ID,JNE
1,bad unlike expedition next door,Negative,ID,JNE
1,taking long usually day package arrived longest day week since move ...,Neutral,ID,JNE
5,responsive service,Positive,ID,JNE
1,send package may may changed status even though using reg service please improve performance also update phone number contacted ...,Positive,ID,JNE
1,thats hate order good batam delivery half month feeling ordering good abroad message sent item status ...,Positive,ID,JNE
1,april may package still batam movement ...,Neutral,ID,JNE
1,phone number contacted even courier left package proof trim phone number listed package ...,Positive,ID,JNE
1,bad service slow delivery,Negative,ID,JNE
1,already day ago hasnt item sent even though already bought item send hasnt sent ...,Neutral,ID,JNE
1,jne service please improve disappointed time delivery always fails jne courier reason address found even though live city center delivery ...,Negative,ID,JNE
1,hasnt package delivered yet even though package already batam day ago getting worse please help get package soon possible ...,Positive,ID,JNE
1,package changed day,Neutral,ID,JNE
5,far using jne courier time sometimes choose courier yes come day choose regular arrival instead day ...,Positive,ID,JNE
5,bad service,Negative,ID,JNE
1,one contact telephone number,Positive,ID,JNE
1,old package arrived april status address unknown jne one contacted please response ...,Positive,ID,JNE
1,ordered item using jne using package yes sure day hasnt arrived ...,Positive,ID,JNE
1,bad service recommended,Negative,ID,JNE
1,already april good havent arrived yet ...,Positive,ID,JNE
2,come bandung batam package long,Neutral,ID,JNE
1,give star let rating lowest viral rating oath please dont give star star ...,Negative,ID,JNE
1,please help si want earn money legal work doesnt need fool people wont bless life ...,Positive,ID,JNE
1,took long get loss customer took long customer didnt want order anymore close dont want send good wont even last week ...,Negative,ID,JNE
1,unclear service good received customer written status delivered number listed can not contacted service value,Neutral,ID,JNE
1,package arrived yet day package paid full shopee really need good ...,Positive,ID,JNE
1,package batam east java long like overseas please consistent ...,Positive,ID,JNE
1,pakettan march still batam phone number listed active even wa read jne severe sworn oath use jne shopping gatau ...,Positive,ID,JNE
1,package misdirected another asked confirmation courier wasnt number active wasnt explanation package ...,Negative,ID,JNE
1,oh god jne right seriously ...,Positive,ID,JNE
1,day status shipment change keep processing rule item arrived hand come still batam status shipment doesnt ...,Positive,ID,JNE
1,package active week without starting olshop even asked tell jne contact please improve service next time use jne ...,Positive,ID,JNE
3,tibet culinary center batam tourism,Neutral,ID,JNE
3,trusted service ok,Positive,ID,JNE
1,original correct ordered shope item arrived ...,Positive,ID,JNE
4,friendly service,Positive,ID,JNE
1,delivery took long day package didnt move ...,Neutral,ID,JNE
1,bad service,Negative,ID,JNE
1,shop online shipping jakartabatam regular jne march delivery date message via sm saying package would sent ...,Neutral,ID,JNE
2,queue management need improved,Positive,ID,JNE
1,delivery slow use regular jne batam pekanbaru week package tracking yet come batam bad ...,Negative,ID,JNE
1,turn jne batam really bad already gone day phone office instead rejected severe oath service good keep closing ...,Negative,ID,JNE
1,cool february february still process jne tiban keep boss ...,Positive,ID,JNE
1,severe jne batam batam delivery medan day arrived work sleep worker ...,Negative,ID,JNE
1,slow better use jnt,Positive,ID,JNE
1,jne batam really disappointing produk daya january early current february one arrived batam amazed expedisi work system inconsistent always disappointed c ...,Negative,ID,JNE
1,item clear week professional employee checking many employee responsibility must maximized according shipping standard yet item ...,Positive,ID,JNE
1,order january february yet arrived ...,Neutral,ID,JNE
1,jne branch batam bad good close detrimental others waiting shipment sent skeng delivered even though ...,Negative,ID,JNE
1,service bad slow delivery huh,Negative,ID,JNE
1,called connected want ask help batam branch jne pay package stuck jne batam almost week bad star ...,Negative,ID,JNE
5,strategic place,Neutral,ID,JNE
1,kapok lah make makin ga make delivery famous famous make severe delivery pesen good shopie sampe skrang ga nyampe look forward olshop apu delivery service jne ...,Positive,ID,JNE
3,distance live far away,Neutral,ID,JNE
4,strategic place fast service,Neutral,ID,JNE
1,ask please party employee jne batam item day still process sumpah last time message jne ...,Positive,ID,JNE
1,jne really bad stuff already day still sorted batam longer using jne really dont know service expedition option send another one shop dont use ...,Negative,ID,JNE
1,severe,Negative,ID,JNE
1,whats jne email reply package day dating january still sorting center ...,Neutral,ID,JNE
1,week sent send hopefully good safe arrive soon hopefully jne responsible pling can not give good response user service im desperately waiting ...,Positive,ID,JNE
3,,Neutral,ID,JNE
5,really good,Positive,ID,JNE
1,message shopee process day even though need get item quickly according estimated arrival date initially choosing jne usually timely better choose ...,Positive,ID,JNE
1,crazy package already week still sent phone rejected continued work people professional slow another choice shop better go ...,Negative,ID,JNE
5,place easy find friendly service,Positive,ID,JNE
1,wow case already week still moving package ...,Positive,ID,JNE
1,unprofessional customer service can not contacted always breaking phone ...,Negative,ID,JNE
1,jne really bad day package still stopped batam really crazy make lesson better deliver shipping service give ...,Negative,ID,JNE
1,week good still sorted batam wait jnes service truly disappointed ...,Positive,ID,JNE
1,package already week still batam please ...,Positive,ID,JNE
4,place lot culinary close various kind shop ...,Positive,ID,JNE
1,really bad jne took vow paketust cust almost month status batam already came branch office meet c answer told wait ...,Negative,ID,JNE
1,paraaaahhhhhhh really different delivery cant sent closed called always rejected want ...,Negative,ID,JNE
5,fast service,Neutral,ID,JNE
3,special service yet hopefully feature future ...,Positive,ID,JNE
2,batam kalimantan,Neutral,ID,JNE
3,bad,Negative,ID,JNE
3,good service lack smile,Positive,ID,JNE
1,good still batam day dog custodian service delivery good ...,Positive,ID,JNE
1,bad phone hard,Negative,ID,JNE
5,good,Positive,ID,JNE
4,bgs,Neutral,ID,JNE
3,bad always use jne online shopping,Negative,ID,JNE
1,never use courier service shipping batam batam guarantee like shipping abroad waste time money ...,Positive,ID,JNE
1,give minus star minus deh long take please jne getting worse day day good still pending sorting batam please follow ...,Positive,ID,JNE
1,package queue,Neutral,ID,JNE
1,shipping problem difficult contact via phone ...,Negative,ID,JNE
1,sir said shipment would taken driver delivery day item didnt arrive cant deliver please answer jne office asked ask confirmation wa ...,Negative,ID,JNE
1,unreliable unprofessional unpolite dont use jne use others bad service bad everything ...,Negative,ID,JNE
1,good night jne batam please send item day item hasnt arrived yet ...,Positive,ID,JNE
4,jne okay security friendly enough serve ...,Positive,ID,JNE
1,woiiii jne batam already week package kl send close aja company people paid good still hold batam ...,Positive,ID,JNE
5,nice,Positive,ID,JNE
1,dont know many time packet yes delivery day tomorrow cant afford cancel yes service ...,Positive,ID,JNE
1,rude jne batam want taste package didnt progress delivery phone picked turned wasnt enough ...,Negative,ID,JNE
4,good service friendly fast,Positive,ID,JNE
4,collect good pm,Positive,ID,JNE
1,slow,Neutral,ID,JNE
1,woi really bad please take responsibility cook stuff still batam yet sent order postage according one love instead sent already already week good still ...,Positive,ID,JNE
1,package yet sent cooking still sorted batam day ...,Neutral,ID,JNE
5,long address good clear package arrived safely ...,Positive,ID,JNE
1,worthy charged consumer protection match duration indicated price package ...,Positive,ID,JNE
5,like service,Positive,ID,JNE
4,great,Positive,ID,JNE
1,bad service courier know manner,Negative,ID,JNE
5,ok,Positive,ID,JNE
4,waiter quite good,Positive,ID,JNE
1,please really promise right sumpah yesterday sore day yet nyampe ...,Positive,ID,JNE
1,package stuck batam day cost expensive service like field destination arrive day c also contacted ...,Positive,ID,JNE
1,disappointed package week detained batam follow holding please pay attention many customer complaining long arrival ...,Negative,ID,JNE
1,jne batam slow work work work woy,Neutral,ID,JNE
4,cpet n doesnt queue,Neutral,ID,JNE
1,unprofessional,Negative,ID,JNE
1,using service jne yes delivery delivered next day reality day tomorrow sent checking receipt also lie recipient house empty even though courier come call confirm service bad use jne service,Negative,ID,JNE
5,good,Positive,ID,JNE
2,delivery often overload,Negative,ID,JNE
5,send good stuff staff friendly sometimes want wait outside working hour ...,Positive,ID,JNE
4,jne great,Positive,ID,JNE
2,hard contact jne telephone number call bad service ...,Negative,ID,JNE
1,delivery never time,Neutral,ID,JNE
5,good,Positive,ID,JNE
1,disappointed batam jne item broke process shipment dont want know compensation ...,Negative,ID,JNE
5,send item find food,Neutral,ID,JNE
4,serving delivery good document good service fast good ...,Positive,ID,JNE
1,item arrived day even though us jne yes ...,Positive,ID,JNE
5,reliable fast service,Neutral,ID,JNE
1,hahahaha,Neutral,ID,JNE
5,alhamdulillah month delivery jne package time listen clear address im sure jnes courier easier deliver good thanks jne ...,Positive,ID,JNE
5,send good faster center ...,Positive,ID,JNE
1,poor service complaining long followup good exchanged must complain place satisfying ...,Negative,ID,JNE
4,good service,Positive,ID,JNE
1,contact phone number hub connect turn call service service dead package center pending ...,Negative,ID,JNE
1,use another courier,Neutral,ID,JNE
4,place comfortable ask supporting tool packing good employee also friendly smiling ...,Positive,ID,JNE
1,bad disappointing service package dont arrive,Negative,ID,JNE
5,friendly waitress,Positive,ID,JNE
5,slow queue stay time,Neutral,ID,JNE
1,package day still moving ...,Neutral,ID,JNE
3,despatch service conveniently located tiban ctr,Neutral,ID,JNE
4,thank compensation submission arrived tidied big day wellprepared good happiness strategy delivery according ...,Positive,ID,JNE
1,picking package must wa delivery slow even though already batam ...,Neutral,ID,JNE
1,use jne yes package hasnt arrived day never able useless pay dearly there difference jne reg ...,Positive,ID,JNE
1,use jne yes must day hasnt even arrived courier doesnt call ...,Positive,ID,JNE
1,yes package item hasnt arrived yet,Positive,ID,JNE
1,relationship telephone connected still picked closed immediately bad jnes service day day hahahahha ...,Negative,ID,JNE
1,cant call,Neutral,ID,JNE
4,ok free takjil ramadhan,Positive,ID,JNE
1,package jne courier slow,Neutral,ID,JNE
1,good enough need flat,Positive,ID,JNE
1,successful customer service service provider category every call ring oncetwo time directly closed ...,Positive,ID,JNE
1,almost week still processed sorting center irresponsible used another courier im disappointed jne ...,Negative,ID,JNE
1,victim change ig address get victim gemezzzz beware shopping online ...,Negative,ID,JNE
1,irresponsible shop online shop address day asked receipt number given online shop really isnt responsible maybe mode ...,Negative,ID,JNE
1,bngsat,Neutral,ID,JNE
1,clear response bad item ordered arent sent olshop also responsible run away blowing money good intention order even ...,Positive,ID,JNE
5,let send item,Neutral,ID,JNE
1,day package finished package,Neutral,ID,JNE
1,batams central clerical service regretted courier far professional word begged center pay attention many complaint jne batam ...,Negative,ID,JNE
1,expensive le friendly service,Positive,ID,JNE
1,phone customer service answering call happen almost time,Neutral,ID,JNE
1,completely complicated many rule suddenly changed without confirmation make convious customer,Neutral,ID,JNE
2,please take time shipping jakarta xa package urgent fasting usedtrmksh ...,Positive,ID,JNE
4,good,Positive,ID,JNE
1,item even though address really clear ...,Positive,ID,JNE
5,clean comfortable good service steady lah anyway ...,Positive,ID,JNE
2,cream bos package,Neutral,ID,JNE
1,professional wasnt raised lifted immediately turned polite ...,Neutral,ID,JNE
1,namay aja jne yes sampe package sampe juga kesel jadiy ongkir expensive ga according performancey ...,Positive,ID,JNE
1,arrived good week dont look little big dont ignore small item ...,Positive,ID,JNE
1,gac friendly ignorant,Positive,ID,JNE
1,unplug phone line cant contact sy package go batam field already week status hand courier taik batam medan bkn overseas one ...,Positive,ID,JNE
4,friendly service,Positive,ID,JNE
4,friendly service explanation delivery time etc easy understand good sent safe fast pity outside batam island cant delivered,Positive,ID,JNE
1,severe servant delivery date wear yes package yet clear use yes would quickly get package call customer care among courier reason closed ...,Positive,ID,JNE
4,jne center shop small many queue service fast ...,Neutral,ID,JNE
1,bad service operator never call severe,Negative,ID,JNE
1,jne trash bad service,Negative,ID,JNE
4,come keep big bag send denpasar bag come day bali come give number cargo security wait min search give bag fast,Positive,ID,JNE
2,lack care customer called,Positive,ID,JNE
5,send package,Neutral,ID,JNE
1,severe long delivery,Negative,ID,JNE
1,blind salary eat bgstt lu,Negative,ID,JNE
1,poor delivery doesnt want lose month time customer cancel coyyyy long shopee item answer doesnt make anyone cool ...,Negative,ID,JNE
1,dont like canceling unilateral item please contact dropshipper first money cant liquid ...,Neutral,ID,JNE
1,seems old item already done day day report sorting pile stop receipt jnt package ...,Negative,ID,JNE
1,delivery speeding week item still stuck batam process dont say item day reality item week yet processed continues ...,Negative,ID,JNE
1,come item doesnt process well february also recorded want month ...,Negative,ID,JNE
1,severe worst service,Negative,ID,JNE
1,amazingly item hasnt moved june dont accept order already stacked dont greedy small online merchant wait send item buyer already escaped ...,Negative,ID,JNE
1,service bad many time sent email said wait almost week stuff detained didnt walk ...,Negative,ID,JNE
1,severe worst service ever good resistance without explanation ...,Negative,ID,JNE
5,one week package stuck sent ...,Negative,ID,JNE
1,jne batam really item arrived also action good service work performance able receive good need ...,Positive,ID,JNE
1,answer also dont want pick package february still please confirm bad service ...,Negative,ID,JNE
1,uda almost month package hasnt arrived,Neutral,ID,JNE
1,jne paraahhhhhhhhhhhh know item overloaded accept package send package week later send receive package finish stacked item first ...,Positive,ID,JNE
1,friend jne better disperse shipping service like ...,Positive,ID,JNE
1,shipping process long bnget held item day ago didnt work office kpan sampek item held ...,Neutral,ID,JNE
1,mhon accelerated package waited week estimate cmn day week please speed dont get stop waiting package come keep piling ...,Positive,ID,JNE
1,item pointing hand pointing hahaha fate awaits long time item doesnt work ...,Positive,ID,JNE
1,bad,Negative,ID,JNE
1,please cope jne chat finished email kaga please use period time hold content package already used cape priced rich service ...,Positive,ID,JNE
1,doesnt work stack package dont send `` if send date doesnt change still involves shipping party cant handle lid aj smbl ...,Positive,ID,JNE
1,service delivery unsatisfactory sy online shopping next time go wrong information loading accepted package ...,Negative,ID,JNE
1,send,Neutral,ID,JNE
1,woi got good already mushroomed lou work eating blind salary ...,Positive,ID,JNE
1,service bad package sent nearly month ...,Negative,ID,JNE
1,february also process disappointed jam batam courier ...,Negative,ID,JNE
1,want ask question complaint please give answer solution ordered shopee sent jne batam item still batam sorting center ...,Positive,ID,JNE
5,super fast shipping service,Positive,ID,JNE
5,good service,Positive,ID,JNE
2,ministry bad,Negative,ID,JNE
1,regret using expedition option suggest seller buyer use service item hasnt arrived long time also contacted response ...,Negative,ID,JNE
1,package week yet checked december still batam center overloaded stop stopped first rather disappointing c also ...,Negative,ID,JNE
1,good point,Positive,ID,JNE
5,time,Neutral,ID,JNE
1,package batam bandung day ...,Neutral,ID,JNE
1,want hang pack package,Positive,ID,JNE
1,really havent walking long ago batam center,Neutral,ID,JNE
1,jne batam payah,Neutral,ID,JNE
1,bad service already checked good hand courier still hold batam please cooperate ...,Positive,ID,JNE
1,send using yes makassar next time item closed loss ...,Positive,ID,JNE
1,want item shopee feb till still sorted well sent severe way allaah even though said order received ...,Negative,ID,JNE
1,expensive many regulation post office complicated much arrive ...,Neutral,ID,JNE
1,using jne ship batam bandung twice end good week stay batam terrible service hopefully company take serious improvement branch,Positive,ID,JNE
4,splendid,Positive,ID,JNE
1,sorting time,Neutral,ID,JNE
1,jne batam overload stop first think package due fact many people disappointed item purchased online long time including tp jne jakarta delivery ...,Negative,ID,JNE
1,service bad every time call one ever answer package often delivered late afternoon evening office closed package address also included cellphone ...,Negative,ID,JNE
1,bad service package passed term service doesnt come c phone ...,Negative,ID,JNE
1,called,Neutral,ID,JNE
1,slow service week still sorting center even though close batam padang ...,Neutral,ID,JNE
5,nice professional service,Positive,ID,JNE
1,deceived person named muh cadr rifansyah said good sent transfer money please assert victim unfortunately use ...,Negative,ID,JNE
1,clerk know address told pick item hour even day good damaged jni pay temporary shipping fee lost lot ...,Negative,ID,JNE
1,im still still january walk road dont make disappointed ...,Positive,ID,JNE
1,bad number c doesnt,Negative,ID,JNE
3,jne always overloaded,Neutral,ID,JNE
1,close really bad service,Negative,ID,JNE
1,jne decreasing service downloaded application make easier check location item update oclock afternoon end empty without ...,Positive,ID,JNE
1,shut,Neutral,ID,JNE
1,true past always used jne delivery day price much different decided use jnt service thank jnt ...,Positive,ID,JNE
1,slow delivery week delivery status batam noodle still hasnt changed ...,Neutral,ID,JNE
1,ordered good tokped via jne good arrived expedition really bad astagfirullah ...,Positive,ID,JNE
1,delivery long good sent long time please cooperate customer angry old good arrived ...,Positive,ID,JNE
1,service bad package sent incorrectly someone el address hopefully improved harm people ...,Negative,ID,JNE
1,responsibility batam jne party package sent friday today position jne batam please dont make people disappointed every time phone cut whats ...,Positive,ID,JNE
1,yes package take week jkt even though overloaded item batam delivered jne ...,Positive,ID,JNE
1,yes package hasnt arrived,Positive,ID,JNE
5,nice friendly quick response ...,Positive,ID,JNE
1,slow,Neutral,ID,JNE
2,ive called time tried extension every second bound break one pick purpose make suspicious ...,Negative,ID,JNE
1,dont understand service jne batam,Neutral,ID,JNE
4,improved quality service,Positive,ID,JNE
1,phone number suddenly doesnt work call connected one answer yes package sent afternoon yet arrived destination better include phone ...,Positive,ID,JNE
1,jne service getting worse send package using yes period regular yes usually sunday national holiday still delivered sunday reason close jne thought ...,Positive,ID,JNE
4,good friendly,Positive,ID,JNE
1,want work arbitrarily dont work service bos ...,Positive,ID,JNE
1,package delivered day week package hasnt arrived ...,Neutral,ID,JNE
2,first time shopping online batam eh hasnt arrived yet ...,Neutral,ID,JNE
5,nice hurry,Positive,ID,JNE
1,bad service,Negative,ID,JNE
2,delivery courier arrived one home contact phone whats use cellphone number written package please dont like ...,Positive,ID,JNE
1,c jne batam branch phone never picked reluctant serve picked phone immediately turned ...,Positive,ID,JNE
4,good service free parking great,Positive,ID,JNE
1,package canceled since hasnt delivered yet ...,Neutral,ID,JNE
1,worse jne arrived day hasnt arrived day ...,Negative,ID,JNE
1,every day check thing dont move still batam jne dreg ...,Neutral,ID,JNE
1,package sent via jne always arrive late match estimated delivery time delivery via jne used repeatedly service promised cant choose another ...,Positive,ID,JNE
1,really bad,Negative,ID,JNE
1,phone number never picked package sent hasnt arrived yet status process jne batam badly dilapidated ...,Negative,ID,JNE
4,service friendly orderly queue number dont use toa queue number heard voice crowd little heard calling queue number ...,Positive,ID,JNE
1,late ordered november december come progressinghow itanyone know telephone number center isnt natam ...,Positive,ID,JNE
1,called jne customer service batam time always rejected thank,Negative,ID,JNE
1,special jne batam bad jne location ok jne batam get jnes good name ...,Positive,ID,JNE
1,come taking long week ...,Neutral,ID,JNE
5,pick good,Positive,ID,JNE
1,please respond u consumer,Positive,ID,JNE
1,good sent november today december good moving still processed batam ordered item took long think good arrive ...,Positive,ID,JNE
1,package december already december hasnt moved yet day still doesnt move package position still batam phone ...,Neutral,ID,JNE
1,worst service world word fact dont match far said day arrive already time horned cat didnt arrive ...,Negative,ID,JNE
1,embarrassing jne take day cook good agent warehouse warehouse day central jne try fix problem come like jne ...,Neutral,ID,JNE
1,bad service week good still batam service bad ...,Negative,ID,JNE
1,yes service always delayed day reg service take day please improve service ...,Positive,ID,JNE
1,week order hasnt arrived batam reason overload please fix service jne whats fate good sorting doesnt move batam really disappointed ...,Negative,ID,JNE
1,week item hasnt shipped yet fac ...,Neutral,ID,JNE
1,worst branch ever usually buying good city go smoothly batam good sorted people give buying thing batam ...,Positive,ID,JNE
1,item havent moved week even worse ...,Negative,ID,JNE
1,longer using jne batam order shopee dec dec hasnt moved jne batam crazy first time using courier time given ...,Negative,ID,JNE
1,whats batam package come batam please please process package immediately really need ...,Positive,ID,JNE
1,service slow package sorted day hasnt moved even though someone order ...,Neutral,ID,JNE
1,really trash enough,Neutral,ID,JNE
1,delivery clear,Positive,ID,JNE
1,bought product online shop hasnt moved yet still blocked reason overload even though already christmas new year holiday expedition ...,Negative,ID,JNE
1,flawed said please understand condition blablabla whatever job late mean work slow didnt arrive week slow guy ...,Negative,ID,JNE
1,really bad first time shop shopee delivery batam use jne longest youre quickly losing shipment abroad please fix dont know whats fate ...,Negative,ID,JNE
1,please hurry sorting shop shopee december december still moving batam sorting center ...,Positive,ID,JNE
1,package still batam oh god customer waiting disappointing even though lot item batam ...,Negative,ID,JNE
1,better go business jne batam order stop sorting jne batam keep sucking ...,Positive,ID,JNE
1,super slow delivering time aware wan na online shopping batam delivering using jne would freak slow delivery service one reason gon na tell overload even waiting week nonsense,Negative,ID,JNE
1,jne service bad delivery often overload batam close ...,Negative,ID,JNE
1,jne batam tlg committed stuff nov dec still moving overload sampek much big package buyer wait good please dont damage seller image ...,Positive,ID,JNE
1,tired using jne batam flight delay continues complained cape ...,Negative,ID,JNE
1,bad service,Negative,ID,JNE
1,think item sent november yesterday still batam turn lot overload item stop doesnt work please professional ...,Negative,ID,JNE
1,delivery bad ordered good november december didnt arrive even though lot consumer good responsibility week ...,Positive,ID,JNE
3,service lacking,Neutral,ID,JNE
1,brg still status outbound,Neutral,ID,JNE
1,want convey package moving manifested batam sorting center sorting status since november however think entered day december ...,Positive,ID,JNE
1,paaaaaarrrraahhhhh bought product november beforehand delivery batam nyeseeeeelll allah ...,Neutral,ID,JNE
1,ordered bag batam november arrived november already december good yet reached jne batam badly often overloaded order never arrived far ...,Positive,ID,JNE
1,ordered shopee nov nov shop moment december package moved batam even though also order de different shop using jne ...,Neutral,ID,JNE
1,disappointed jne batam super parahhhh,Positive,ID,JNE
1,poor quality good delivered month customer care answer overload investigation process blah blah blah ...,Negative,ID,JNE
1,bad time shopping batam already disappointed expedition item november december move please improve jne service look like ...,Neutral,ID,JNE
1,send package november december still doesnt change still batam ...,Neutral,ID,JNE
2,come put job application,Neutral,ID,JNE
1,swear really disappointed jne batam friend sending read review first shopped shopie november package arrived package ...,Negative,ID,JNE
1,delivery took really long,Neutral,ID,JNE
1,last time spent shopping batam using jne expedition disappointed administration november tagal package moved disappointed angry ...,Negative,ID,JNE
1,delivery lambaaattttt week good sent still sorting batam ...,Positive,ID,JNE
1,interest sending item already day good still ...,Positive,ID,JNE
1,god batam,Positive,ID,JNE
1,week package stuck batam sent java island woooiii person item ...,Negative,ID,JNE
1,lousy unprofessional mention typically lazy responsible rip indonesian logistic,Negative,ID,JNE
