,rating,reviews,sentiment,Country,Company 
28,1,"Terrible service, talk loudly And when speaking, we didn't hear at all. Being scolded, speaking badly, not suitable for service work Poor first and last Not in a bad mood Worse, unacceptable this time …",Negative,TH,Kerry 
29,5,Very good service in this branch. Lovely staff,Positive,TH,Kerry 
30,5,good,Positive,TH,Kerry 
31,5,Parking is less,Neutral,TH,Kerry 
32,3,service is average,Neutral,TH,Kerry 
33,4,"In the service overview, visit .. Keep this standard throughout …",Neutral,TH,Kerry 
34,4,Good service staff,Positive,TH,Kerry 
35,4,delivery,Neutral,TH,Kerry 
36,3,good service,Positive,TH,Kerry 
37,3,Miss the first set of employees Early days of Kerry Very good service …,Positive,TH,Kerry 
38,4,The point of delivery of various parcels has increased from the original. …,Positive,TH,Kerry 
39,4,I do not care about the customers well.,Positive,TH,Kerry 
40,5,wonderfully,Positive,TH,Kerry 
41,3,The service of the staff is very good.,Positive,TH,Kerry 
42,5,good service,Positive,TH,Kerry 
43,4,The service staff is very good.,Positive,TH,Kerry 
44,3,"Send and receive documents. Some have been sent to other sites are not very much like to be very detailed, such as the district. I do not know why. …",Positive,TH,Kerry 
45,5,"Not long to wait, good location, convenient, in the gas station …",Positive,TH,Kerry 
46,3,Should be open on Sunday.,Neutral,TH,Kerry 
47,4,"Good, but a little narrow, there is no space to sit and wait or pack. …",Positive,TH,Kerry 
48,5,"The staff here care about their customers and their service is very good. Maybe ask the kids to help pack more things. Thank you for your service. Even though the queue is full, I'm impressed. May you continue to …",Positive,TH,Kerry 
49,4,The place is too small.,Neutral,TH,Kerry 
50,5,Good service like,Positive,TH,Kerry 
51,5,I work in Kerry.,Neutral,TH,Kerry 
52,5,"Excellent service I remember a lot of delivery days Because sending medicine donated to other provinces The staff helped pack the package until finished, thank you. …",Positive,TH,Kerry 
53,3,"Small shop, lots of people but still good service",Positive,TH,Kerry 
54,4,Friendly staff at the branch Willing to serve even a lot of customers Explain to everyone well. …,Positive,TH,Kerry 
55,5,Work fast,Neutral,TH,Kerry 
56,5,A lot of people but the staff work hard.,Negative,TH,Kerry 
57,5,"For the first delivery, the staff speaks well. The staff are nice, smiling, not blessed but it might be because we came when there are not many people, haha. …",Positive,TH,Kerry 
58,1,"Waiting for the item to be delivered for a very long time. Need to order the item so the item will be delivered on the day of use But it didn't catch up Later, will not use the service anymore. Very disappointed, very …",Negative,TH,Kerry 
59,5,good,Positive,TH,Kerry 
60,3,"In the Bangchak petrol station, a small room",Neutral,TH,Kerry 
61,4,"The day before, to send stickers, shipping costs 100, very expensive …",Neutral,TH,Kerry 
62,3,"A little too small, standing few people already branch ... …",Neutral,TH,Kerry 
63,5,"Good service, fast",Positive,TH,Kerry 
64,5,Very Fast & Good Service In Thailand.,Positive,TH,Kerry 
65,5,"Good service, good advice",Positive,TH,Kerry 
66,5,Very fast staff,Neutral,TH,Kerry 
67,5,Great service,Positive,TH,Kerry 
68,4,"The staff is lovely, service is safe.",Positive,TH,Kerry 
69,1,"If Sunday is not open, it should be deleted. Not Sunday, open 9: 00-17: 00 After entering and closing …",Neutral,TH,Kerry 
70,5,If calling Kerry to pick up the goods at home?,Positive,TH,Kerry 
71,3,Make Sunday a good day,Positive,TH,Kerry 
72,1,"Terrible service. The delivery staff spoke badly. Just don't answer the phone once. Even having to say to the customer ""Can't help, don't answer the phone itself. Now, sending the goods to others is waiting. ""Only, …",Negative,TH,Kerry 
73,3,Today will try to use the service,Neutral,TH,Kerry 
74,1,Very slow delivery Long-standing warehouse,Neutral,TH,Kerry 
75,1,"delivery man The form hasn't shipped yet, but the work is closed. Sign in that the customer receives the item. even though I haven't received this Calling can not be contacted. What is it? The service is very bad. …",Negative,TH,Kerry 
76,5,"Very good service, friendly to the people 👏🏻👏🏻👏🏻👏🏻 …",Positive,TH,Kerry 
77,1,เราส่งของตั้งแต่วันที่14/02/65จน24/02/65ก็ยังไม่ใด้รับไ.ม่มีการโทรหาหรือตีกลับไดๆหายเข้ากลีบเมฆไปเลยแย่สุดๆคือพนักงานคีระบบผิดพลาดรหัสผิดไม่รับผิดชอบไดๆไม่โทรหาไดๆทั้งสิ้น สส,Neutral,TH,Kerry 
78,1,The delivery person is very bad habit. Order the total amount. The total amount is only 409 baht. But the sender thinks 509? How much? You shouldn't be a delivery person. It's ugly. Don't act as a delivery person. …,Negative,TH,Kerry 
79,1,"The service fee is very expensive. very light water box The size of the box is as small as an ant. It's 65 baht. Other places don't exceed 30 baht. It's a lot and the profit is unreasonable. That time, the screen …",Positive,TH,Kerry 
80,1,"Kerry, why can't I check the parcel and tell the recipient to contact me? even though no one called Mine has been sent for the 3rd round. I ordered from the 4th of Feb. …",Neutral,TH,Kerry 
81,1,"The parcel arrived broken, almost every box, as if intentionally like this, I can't take it. …",Negative,TH,Kerry 
82,1,"The incident happened just a moment ago, a Kerry employee came to send Pampers. We are adopting a child, the mother of the child transferred the money to me yesterday. When this employee came to send me, he acted in a …",Neutral,TH,Kerry 
83,1,"If the destination is not collected, it will be very slow. Waiting to pick up since morning, still haven't arrived. But online check is riding a motorcycle. We are trying to pay the expensive shipping fee, it's very …",Negative,TH,Kerry 
84,1,"Why is Kerry so bad? A friend sent the item from 7 Jan. The product will arrive on Jan 10, but now Jan 12, the item hasn't been received yet. Called to check and was told that the address was written wrong. But really …",Negative,TH,Kerry 
85,5,Quiet and quality coffee.,Neutral,TH,Kerry 
86,1,"Lat Krabang area, delivery is very slow, can't compete with other transport, the management is so weak!!!! …",Negative,TH,Kerry 
87,4,"Can be used to a certain extent, easy to park, not many people, wide, clean, the staff is okay. …",Positive,TH,Kerry 
88,1,"Kerry Khao Chamao Branch doesn't speak well. Go pick up items at the branch where no one is interested in customers even though there are many people living together. When I go to pick up the stuff, I say that the …",Positive,TH,Kerry 
89,1,"Very bad, Khao Chamao Branch, Rayong Province, we went to pick up the stuff. At the branch, employees are not interested. But call us to pick up the stuff. When we don't know where the stuff is, we tell them to send …",Negative,TH,Kerry 
90,1,"Don't do this job. Kerry had no map accuracy at all. Always come to deliver products, come in hundreds of times, but have to call and ask for directions every time, every three or four times …",Neutral,TH,Kerry 
91,1,"Jingko doesn't want stars, if they don't give, they can't review anymore. If the item hasn't arrived yet, the customer doesn't have to call and waste time waiting. When calling, the items will be delivered to you to …",Positive,TH,Kerry 
92,3,wait so long,Neutral,TH,Kerry 
93,5,Kerry branch near Bangrak market Park the car at the Chao Phraya Tower and go to the parking ticket stamp at Kerry went to deliver the documents today. I just know that now there is a …,Neutral,TH,Kerry 
94,1,very bad,Negative,TH,Kerry 
95,5,Very good service.,Positive,TH,Kerry 
96,1,"Meet the delivery person at Bangkapi District Ramkhamhaeng doesn't speak well, so he speaks bluntly to his customers. met many times Can't beat the person who sent the flash. …",Negative,TH,Kerry 
97,1,You don't have to go to work with Kerry. because of being scolded by regular customers I cursed because The sender is a foreigner. Send the item to Thailand. Enter the correct name. The customer's phone number is …,Positive,TH,Kerry 
98,5,Fast and convenient transportation well packaged equipment good mannered staff …,Positive,TH,Kerry 
99,5,The only person who trusts to send a speedy disaster,Negative,TH,Kerry 
100,4,Ok,Positive,TH,Kerry 
101,1,waiting since morning Said I'd send the item today,Neutral,TH,Kerry 
102,1,Call center staff provide very good service. But what makes the company look bad is Poor freight forwarders work like… Be aware that transport workers who are inattentive to work You're the one who puts the blame on …,Negative,TH,Kerry 
103,1,"Why is it that when packing and delivering things, I always ask what's inside? …",Neutral,TH,Kerry 
104,1,Green Dream man wearing glasses I drive very badly. …,Negative,TH,Kerry 
105,1,Samaedam inventory is not working or not. I haven't sent items. Set girls 18/8/64 until today 22/8/64 items. I haven't sent a call to the call center. They told me to hurry up. I can't see it. I will send it. I will …,Neutral,TH,Kerry 
106,1,"Terrible, slow delivery, not available, it's closed.",Negative,TH,Kerry 
107,1,"Very difficult to contact, call 1217 Pick it up and hang up Can't contact Delivery is very slow. Call any number but leave a message and receive it. Hang up immediately. …",Negative,TH,Kerry 
108,1,"Lots of lottery services, call to coordinate, no one answers the phone. I don't know if the management has looked at the reviews. that customers have scolded me irresponsible …",Negative,TH,Kerry 
109,1,Call to ask if the items have been delivered from the branch or not. staff can't answer Are you crazy 😥😥😥😥😥 …,Positive,TH,Kerry 
110,1,"Why it sucks, Kerry Fireworks, the rotten stuff doesn't deliver in the system. It says the phone number is not correct. Why does it take so long to deliver? Summary of rotten items and not delivered. …",Negative,TH,Kerry 
111,1,"Very bad service, delivery from Mae Sot on the 4th, arrived in Bangkok on the 9th at 3pm. It's rotten, bamboo shoots. …",Negative,TH,Kerry 
112,1,What is the call center for cats? Called and no one picked up... The delivery man works very hard. …,Negative,TH,Kerry 
113,1,"It's so bad, it's still like this",Negative,TH,Kerry 
114,1,Very bad. Sent items on the 29th day. I haven't arrived yet. I don't know what to do. …,Negative,TH,Kerry 
115,1,"Very bad, called to come to me since July 1st. In the morning, I will come to send to you in the evening. I haven't received items until today. On the 2nd day, I still haven't received it yet. …",Negative,TH,Kerry 
116,1,"I saw that the PTT branch, Amphawa Phra Hai, valued in millions. The owner sent 28 boxes of amulets. But someone came to cancel the bill without asking for a card or any evidence. …",Positive,TH,Kerry 
117,1,"1. Your company's work is very irresponsible since 1.1 Recording only 10 digit phone numbers, you still record wrongly and also blame customers for not matching numbers. even though Kerry was the one who made …",Negative,TH,Kerry 
118,4,"of the week and it hasn't arrived yet If you can't send it, don't pick it up. …",Neutral,TH,Kerry 
119,1,Kerry employee came to pick up the product from today 22 July '21 and lost the product. Contacted the employee to inform that the claim has been sent. Call the subject to inform that the officer will call back. From 6 …,Negative,TH,Kerry 
120,2,"Who told Kerry the service is good and fast, send the item back, it takes 4 days, plus the shipping fee is expensive. …",Positive,TH,Kerry 
121,1,"How big do you have to be? The box is broken. secretly change the box And the stuff inside is this messy But there is no call to notify, but can send SMS saying that the claim is difficult to claim. The employee threw …",Negative,TH,Kerry 
122,5,"The delivery point of Kerry Bangrak branch is in front of the Chao Phraya Building, but Kerry's head office is located on the Chao Phraya Building behind Robinson Bangrak. …",Neutral,TH,Kerry 
123,1,"Ordered and wanted to return the product. because the product does not match the order Contact the office to check where the product came from. because we send it as cash on delivery In fact, the head office must have …",Neutral,TH,Kerry 
124,1,"Extremely slow delivery. Our parcel arrived at the final distribution depot and then took 4 days to be delivered - walking to collect the parcel at the depot would have been 8 times faster than Kerry's ""express"" service. …",Neutral,TH,Kerry 
125,1,"Don't let the stars send items from Samut Prakan. Come to Ram Inthra. Send on 30 Nov. July 64 until today 2 June. Year 64 I haven't received it, but it's been delivered for 2 days. We wait to receive it. Going out far …",Neutral,TH,Kerry 
126,1,The location is not the same as the picture. Other companies didn't take it for next time …,Neutral,TH,Kerry 
127,1,"Did not send the item and pressed in the app randomly saying that the recipient cannot be contacted, that is, if you want to do this Close the company. Let's go. If management can't manage people, it sucks. …",Positive,TH,Kerry 
128,1,"I would like to ask, what is the purpose of doing service business? Please help me find a question that says that I can't send documents, copies of national ID cards via transport. Call to the office and talk to the …",Positive,TH,Kerry 
129,1,"The delivery staff let us go out to pick up things in front of the alley. Tell the dog that the dog is afraid that the dog is afraid to send it. What is it? Another company, he has never seen it bite anyone. post …",Neutral,TH,Kerry 
130,1,"Mother sent the item since the 13th day, the 17th, and has not received the item, is very confused, call 1271, about 10 more per line, top up, call 100 baht until the money runs out, it still does not receive. …",Negative,TH,Kerry 
131,1,"Terrible, delivery 11/5/64, said it will arrive in Pattaya on the 13th, this one has not arrived yet, check the status in the same place for 3 days, ask who thrown to each other. There are no other channels to contact …",Negative,TH,Kerry 
132,1,"How can the heel of the product be preserved? Calling the call center, I am completely suspicious. How can I claim that I cannot contact the recipient? …",Negative,TH,Kerry 
133,1,"Pathum Branch Clerk Write the correct address Except postal code The delivery staff called to ask and informed them. No one contacted Check the status, it says Waiting to verify the correct address from the sender / …",Neutral,TH,Kerry 
134,1,"3 days of not yet arrived Food is just rotten And tell me to send as well Up in the system that the employee is delivering, this has been 3 days and sucks, the call center number does not call. …",Negative,TH,Kerry 
135,1,"So bad, waste of money, urgent delivery Will be on the 3rd day and have not yet sent the item to proceed to check the status of in Photharam What are you going to do in different ways? Don't you check the delivery …",Negative,TH,Kerry 
136,1,"Very bad. During this time, the delivery was delayed, not as scheduled. There was no notification at all. Called and waited for the last hour before talking. Bad to everything Trust me all this time, I hate each …",Negative,TH,Kerry 
137,5,"I went to deliver the goods early in the morning, so I used the Rabbit points. Redeem 50 baht for delivery fee and pay with Rabbit at Kerry, very nice 😘 …",Positive,TH,Kerry 
138,1,"Very bad, our box is damaged, the jack gave us a new one, but took a lot of ours. Our items are not very complete. …",Negative,TH,Kerry 
139,1,Don’t call it Live Chat when it comes with AI. They can not answer me any questions I want to know. It’s useless,Negative,TH,Kerry 
140,1,Running is very slow compared to other transport. Suggest shops to change to a new bus station …,Neutral,TH,Kerry 
141,1,"Wait for fresh fruit to send status. Employees are coming and sending since 19 until 20 shift has passed and no one has contacted yet. Probably rot in the box, maybe? …",Positive,TH,Kerry 
142,1,"Terrible staff Make an appointment to go send But not going now, not calling to inform …",Negative,TH,Kerry 
143,4,Good service,Positive,TH,Kerry 
144,1,"This company is probably the worst and in terms of shipping, if compared to J&T and Plash, the two of them are much better. The delivery itself is not cheap. I have been discontinued. Many rounds. Lose the feeling. …",Negative,TH,Kerry 
145,3,"Kerry Ban Phe, Rayong Province, close for lunch L. Need to find a place to send elsewhere …",Negative,TH,Kerry 
146,1,"Send fruit to Kerry Nakhon Nayok The system said it will be until March 7, 64, but it turns out that there are no employees to deliver goods to customers according to Kerry. There are a lot of products lately, causing …",Positive,TH,Kerry 
147,5,A more security system than an airport,Positive,TH,Kerry 
148,3,"Okay, the first time to send.",Positive,TH,Kerry 
149,1,"Notifying that the product will be delivered today, not waiting until late, the call will not accept this work, service or work. …",Positive,TH,Kerry 
150,1,"There is a product that needs to be delivered today, parcel number shp xxxxxxxxx, tracking delivery status, saying that it has been shipped. With a signature But I haven't received it yet. There are people waiting to …",Positive,TH,Kerry 
151,4,"Hello, I usually use the service of the nearest Kerry branch in Bangkok. It is always good .. But now I have to go to Pong Nam Ron, but still have to deliver the products to customers as before. Confidence in Kerry …",Positive,TH,Kerry 
152,1,"I called two rounds, the staff will follow me to wait until the evening has not yet called the staff to tell me when to send. …",Neutral,TH,Kerry 
153,2,"Did not receive the item, but someone signed it. I do not know who. So why didn't the parcel call? …",Neutral,TH,Kerry 
154,1,"Details checked That the product has arrived But the product did not see it. What do I have to do next? Sin started exporting from the 27th day. Today, day 7, and still haven't seen …",Negative,TH,Kerry 
155,1,One star because I don’t like their service today. They didn’t accept my passport picture on my phone today because they need the original one but i’ve been trying to do it many times before whenever I am sending a package. I don’t know if there’s new regulations. Educate me!!,Positive,TH,Kerry 
156,1,Terrible. Close.,Negative,TH,Kerry 
157,2,"The staff delivered the goods home But accidentally did not give grandmother money The staff called us to deliver the goods to our house, answered the call and asked if the money could be transferred. The staff …",Positive,TH,Kerry 
158,2,"Souvenirs delivered to Tak Don Chedi on January 5, 2021 Time around 15.00 Today, 6 Jan 2031 at 4 p.m. …",Neutral,TH,Kerry 
159,1,Very bad service Arbitrary delay delivery Do you train staff? …,Negative,TH,Kerry 
160,1,Date 31 December 63 The delivery staff called to ask us if we are ready to receive the product. So I replied that I wasn't ready. Because going to other provinces Therefore I would like to postpone the 4th day of …,Positive,TH,Kerry 
161,1,"Department of labor to deliver goods, have to deliver things to the front of the house Not deposited in the village law I told many times and still do. There are 2 people, one sent to the house every time. Thank you …",Positive,TH,Kerry 
162,1,"Terrible - worst According to the parcel which is overdue In the morning, I was told that the staff would contact you back, it was silent again. More importantly, let's wait for the parcel. There is no movement what …",Negative,TH,Kerry 
163,1,"Slow delivery as a nation The service staff is terrible, the transportation is extremely bad, the more you use the service every day, the worse the service Call according to the call center, wait for the call as a …",Negative,TH,Kerry 
164,1,"Delivery from December 4 to Phuket destination. 4 days have not received the item, call, no staff to answer the call, send the parcel tracking number to Chaiyaphum, very confused. …",Negative,TH,Kerry 
165,1,"About almost 5 days, write all the details, but not complete, not responsible, call to not answer …",Positive,TH,Kerry 
166,1,There are no major office phone numbers and the staff answer the phone at 11am. …,Positive,TH,Kerry 
167,4,Good service Quick and fast. …,Positive,TH,Kerry 
168,1,"Today, I met myself, what is it for today? Very bad work. Delivery since yesterday at nine o'clock. Arrived in Bangkok at fifty and fifty customers waited all day. Call the employee's check. Tell them to call to ask. …",Negative,TH,Kerry 
169,2,"Curry in the latter part, poor service.",Negative,TH,Kerry 
170,1,very bad,Negative,TH,Kerry 
171,4,"Let it be a table or a suitable drop-off place, not to drop it on the ground. This branch is nice, it has a table that you can reach, you can put it on the table and shoot. But have to grab the writing area for …",Negative,TH,Kerry 
172,5,Very good service,Positive,TH,Kerry 
173,1,"If the shop sent the goods since yesterday, but went to check the number and it says no, what is this delivery? …",Positive,TH,Kerry 
174,1,"The delivery person speaks badly. To find us asking the address, we have already told him but he is not right. Instead, ranting, we should improve. If talking dog is not like this, very bad 👎👎👎👎👎👎👎 👎 …",Negative,TH,Kerry 
175,4,Good service,Positive,TH,Kerry 
176,1,The MOST USELESS hotline numbers!!! YOU SENT MY ENVELOPE AT THE WRONG ADDRESS! Called your hotline for a MILLION TIMES still NO FREAKIN ANSWER!,Negative,TH,Kerry 
177,1,Delivery very long damaged goods Sent backboard doing 😡😡😡. …,Neutral,TH,Kerry 
178,5,Modern buildings and work spaces The staff spoke good almost everyone who has contacted. Thank you Kerry …,Positive,TH,Kerry 
179,5,"Good service, good advice",Positive,TH,Kerry 
180,1,"So what? The delivery staff didn't arrive at the room, calling to tell them to walk down to pick up the goods. If the old guy came up to deliver, then he didn't have to come to work. And still going to go down to the …",Positive,TH,Kerry 
181,1,"Status added, sent this Saturday Until the one who ordered later arrived …",Neutral,TH,Kerry 
182,1,"Meet the fresh, Tulip Squre branch. Take a table for the customer to wrap and fill in the details at the front of the outside door. Allow the customer to wrap the item. Fill in the sun to disinfect the covid 19 …",Positive,TH,Kerry 
183,1,"So bad Delivery from 7 today. Day 11 has not been received. Can not call any agency Plus looks at the Bangkok warehouse for 3 days, still in the same place. Went to ask at Bang Kadi warehouse to tell the company that …",Negative,TH,Kerry 
184,1,Delivery is very slow,Neutral,TH,Kerry 
185,1,Contact did not deliver as late as the worst week.,Negative,TH,Kerry 
186,1,"Kerry Sikhio Shipping Department Terrible Service Items shipped from March 30 until April 1, but have not been delivered to customers. Call and cut the call. Callcenter can only accept the matter. Cannot solve any …",Negative,TH,Kerry 
187,5,Good service,Positive,TH,Kerry 
188,5,Best service,Positive,TH,Kerry 
189,3,"Kerry, the most expensive to transport together",Neutral,TH,Kerry 
190,1,"Suck, do not call to inform you that you will be sent. Put the goods in front of the house. Will you put it to the dog for a period? …",Neutral,TH,Kerry 
191,1,"The delivery is very slow, the Thai postage is sometimes faster than when the holidays are reduced during the 3-4 day lazada price reduction. So, pay for the expensive delivery. …",Positive,TH,Kerry 
192,4,Fast service Staff intend to provide very good service.,Positive,TH,Kerry 
193,5,"To use the service frequently, convenient to use",Neutral,TH,Kerry 
194,5,"Good work, good fun",Positive,TH,Kerry 
195,1,Better to use Thai Post or Alpha or other. Kerry is not safe.,Positive,TH,Kerry 
196,5,"Very good service, fast, staff help with the package. And very good advice There are 2 branches with no extensions. …",Positive,TH,Kerry 
197,5,do not tell,Neutral,TH,Kerry 
198,1,Worst shipping company in the world,Negative,TH,Kerry 
199,2,"Long wait, slow service, no parking",Neutral,TH,Kerry 
200,4,very good service,Positive,TH,Kerry 
201,5,"Good service, convenient transportation, near bts Taksin",Positive,TH,Kerry 
202,2,You pay a very high price but the delivery is very slow!,Negative,TH,Kerry 
203,1,I booked on the app and was given a 2 hour pickup window. I got a phone call saying they will arrive after that window. Then they asked me how many piecesm again and again and again. Then I canceled the pickup and they kept calling asking …,Neutral,TH,Kerry 
204,5,Good company,Positive,TH,Kerry 
205,4,Is the office Not receiving parcels,Neutral,TH,Kerry 
0,5,Thank you very much,Positive,TH,Ninja van
1,1,Always wrong delivery!!!  How do you even train your staff? How could you even deliver wrong address every time????? Please train your worker!!!!!!!!,Negative,TH,Ninja van
2,1,The delivery man is very bad. It's the worst transport.,Negative,TH,Ninja van
3,1,Please call the recipient and send it to the recipient's hand. …,Positive,TH,Ninja van
4,5,"I don't know what other people's are, but mine, 1 day, received items. Very fast delivery. …",Neutral,TH,Ninja van
5,1,Where do,Neutral,TH,Ninja van
6,1,"At first the app said it was shipping. Call the center to ask and tell them it's in the warehouse. After a while, I called to say that I will send it to you today 2/2/65 A few minutes passed. say send failed Allow …",Negative,TH,Ninja van
7,1,It's been in Rattanathibet for a long time. will claim to open the new year But others can send it. Can you add staff? will be able to do more efficiently …,Positive,TH,Ninja van
8,1,Delivered more than 2 days ago and still haven't received it. …,Neutral,TH,Ninja van
9,1,"I don’t like this ninja Van company delivery staff…. The staff should have common sense that the item is heavy or not… if the item is heavy, they need to put on the floor. Not inside the small basket… my small basket is already crooked, …",Positive,TH,Ninja van
10,1,Worst company I have dealt with.  delay in delivery.  Difficulty communicating with support,Negative,TH,Ninja van
11,1,.2 This item is from another seller...just the wrong postcode...but only delivered to..Ninja..I just bounced back..... …,Negative,TH,Ninja van
12,1,send past the specified date,Neutral,TH,Ninja van
13,1,"Very slow. From Bangkok, it takes almost 4 days to deliver. If it's fish, it's marinated until it's salty. …",Neutral,TH,Ninja van
14,1,"The worst, the worst, the delivery does not reach the customer's hand. Thomas came only for 4 seconds. and leave it to someone else Then Master tells us one more time. claiming that we can't contact us and hurry back …",Negative,TH,Ninja van
15,1,Rattaphum Branch,Neutral,TH,Ninja van
16,1,"The service is very bad, the staff sign their own but do not receive the item. …",Negative,TH,Ninja van
17,1,"Rama 4 branch, why do you keep stuff? Why didn't you send it and tell me the wrong address, some wrong phone number? The status check is up but I can't contact the recipient. What is it? I'm waiting for items. Hurry …",Negative,TH,Ninja van
18,2,Order online from the shop and deliver with this company. I encountered the problem of failing to send all 4 rounds. It's very bad. Very slow. I don't understand how to fail. …,Negative,TH,Ninja van
19,1,"Very bad, hit things back, didn't say a word.",Negative,TH,Ninja van
20,1,"Waiting for the parcel for a long time, the staff said the car was broken, so they didn't come to deliver the items on the scheduled day and wait for the next day delivery like this? Is there only one sender? …",Negative,TH,Ninja van
21,1,Paid but didn't get the product and the staff came in to pick up the items in the house and left. …,Neutral,TH,Ninja van
22,1,"It's a very poor management company. The delivery worker is very tired and tired. Only a few baht per piece. If you have a holiday, you can't stop. You get broken. No reason. Telling the reason is like sending it to a …",Negative,TH,Ninja van
23,1,"Tell me that the parcel has been delivered. Where did you send it to, you signed the parcel yourself or you dropped the parcel, I don't know what the fuck …",Positive,TH,Ninja van
24,1,Very slow delivery,Neutral,TH,Ninja van
25,1,"Sent by a pod. That pan. That's good news that it's growing 3 times. Spit. I recommend you to go to work with other camps. Kerry, JT, etc., come to Khon Kaen. He never exceeds 3 times. Jak An. There is only this camp. …",Positive,TH,Ninja van
26,1,very bad,Negative,TH,Ninja van
27,1,"Really bad. Management is very bad. Items have arrived for 3 days. Still haven't received the item. Check the status. Can't contact the recipient. Which way do you contact? Mail or telegram, always carry phone because …",Negative,TH,Ninja van
28,1,"Very slow delivery, status information is not updated at all. …",Neutral,TH,Ninja van
29,1,"SHNV085531120 The customer is waiting for the parcel at home all day. Checking the parcel, it says that the customer has changed the delivery date and time. The person who is waiting is waiting for the transport staff …",Neutral,TH,Ninja van
30,1,Slowly,Neutral,TH,Ninja van
31,1,"It's been a week and I still haven't been able to. Check the parcel number, there is no movement at all. There is nothing that can be contacted to help at all. It's really the worst of the transportation system. …",Negative,TH,Ninja van
32,1,"Very late, made an appointment today.",Neutral,TH,Ninja van
33,1,Sucks. Slow delivery. Pickled items. No delivery. I do not recommend using this transportation service. It's a waste of time. Stop using the name Ninja. It's not appropriate. Changing to a logistic turtle should be …,Negative,TH,Ninja van
34,1,The parcel was unpacked.,Neutral,TH,Ninja van
35,4,nice big warehouse,Positive,TH,Ninja van
36,1,"Pickled items are very good, don't send items, don't call, the latest we ordered has been bounced back to the sender to wait for 7 days. Very bad. …",Negative,TH,Ninja van
37,3,There is a subsidiary in Kasetsomboon District. Chaiyaphum Province? …,Neutral,TH,Ninja van
38,1,"The product came in unpacked the box and it looked broken. The ordered item was not exactly the same, it was enough to see that the product was broken again. …",Negative,TH,Ninja van
39,1,Not able to deliver but claiming to be unable to call the recipient even though there is no incoming call …,Neutral,TH,Ninja van
40,5,Bangchak Branch. Products are delivered very quickly. Polite staff. Call to inform before coming to deliver. …,Neutral,TH,Ninja van
41,1,"The delivery staff did not arrive, did not contact the customer, did not come back again. Better to close the company …",Positive,TH,Ninja van
42,1,ninj van Kabinburi has not been contacted yet. The status says that the delivery was unsuccessful due to the customer requesting to adjust the delivery time. what is it …,Negative,TH,Ninja van
43,1,Parcels are being processed at the Ninja Van Warehouse - Ninja Van Sorting Facility. …,Neutral,TH,Ninja van
44,1,Shipping is very slow. Calling to ask is not clear. Wait for 7 days. …,Positive,TH,Ninja van
45,1,"Too bad, too long, ineffective irresponsible Items have been left at the branch for a long time. Since ordering online from this company the worst All necessary items are missing 😡😡😡 …",Negative,TH,Ninja van
46,1,Does this company like pickles? How long is it from Bang Phli? Go to Thung Khru …,Positive,TH,Ninja van
47,1,Very bad. I've been waiting for items in Bangkok for 5 days. relayed all the time I can only say that the coordination for 1-2 days is the same. The part of the postponement is delivered on a day to day basis. …,Negative,TH,Ninja van
48,1,"Very slow delivery, it will be ruined soon",Negative,TH,Ninja van
49,1,"I'll tell you Cancellation notification, did not receive the product for 2 rounds to return the sender …",Negative,TH,Ninja van
