rating,Late reviews,Sentiment score
1,period bought serum shop using shopee account one one sent leaked didnt contents chat happy responsible someone longer delivery responsibility,Negative
5,used use swimming safe standard delivery speed dn long time use days new battery killed couldnt able get days want use still got days week charge also lmyn laa,Negative
5,finally arrived long shipping tragedy trimz brother always successful first arrived lilac strap,Negative
5,disappointed read notes delivery delay ppkm fact quickly arrived disappointed ga wait long time packing bad sealed bubble wrap make item satisfying results accurate results heart rate different point isokay,Negative
5,worried delivery stuck huhu thank god turned cmn stuck serversuper fast packaging check hours later packed dipick upthe bubblewrap severe items also goodhopefully according expectation use hehe thanks sis,Negative
5,although delivery late error system shipping sellers response steady makasi min fast response ajib product,Negative
5,flavor yet tried cheap price quality decent package delivery quite long bro obstacles send,Negative
5,flavor woenakkk poll cheap price good quality sakah sakank bet fortunately buy rather disappointed delivery long still due yesterdays,Negative
4,price bad quality okeeeee bangettttt little longer delivery really recommended store flavor mantullllll,Negative
5,affordable prices quality bad flavor bad delivery bit long comes item rather broken good go,Negative
5,low price short packagingbut delivery long problem expedition shophis shop goodluka thanks cheap meriah,Negative
4,sorry doesnt connect picture far shipping still long time ago maybe booms expedition,Negative
5,items according orderinshaallah repeat orders storehopefully always mandatebut delivery long jnt mistake sent je jambi,Negative
5,disappointed contents less delivery long like calculated number less,Negative
5,packaging long obstacles shipping,Negative
5,already many times shopping store service far okay especially admin complain morning item days hasnt sent eh afternoon package departs shipping store long time ago maybe order thousands realpict,Negative
4,really long long mattress get holster tender jos unfortunately shipment long time ago,Negative
3,delivery bit long item also turned less smooth little reject ingredients tasty tender soft,Negative
5,bangett original cumn delivery quite long sorry dont use original photo,Negative
4,items mayan small bolongs bbrp flat point dent doesnt use usual plastic shipping bit long overload brdscran admin info making promo want buy ehhehehe,Negative
5,long time packedbut fast delivery tender body sick works ingredients also smooth thickprice standard,Negative
3,sorry say quality product accordance price folds almost want tear stain pointsdelivery carried store espedisi slowplease enhance lg quality products shipping,Negative
5,ingredients tebel packaging fast delivery little long doesnt really like thank sis,Negative
5,price bad quality good comfort okay shipped days packagingincluding fast cs really patient courier worry process rain delivery fear mattress weteven though double plastic turned torn rained heavily seemed slow bed thanks seller,Negative
3,goods receivedpretty long shippingand disappointed memo shopee scheduling delivery delivered courierwhose one wrongbut items,Negative
5,mattress comfortable used obstacles shipping long timeeven though arrived destination city week hasnt sent toothe expedition wa used accompanied fear mattress develop time opened alhamdulillah safethx,Negative
4,delivery long time cmn overalls complaintsgood items affordable packaging also safe point disappointing,Negative
5,cheap price unfortunately delivery slow almost week sent,Negative
4,fast delivery later looks like someone broken also want break,Negative
4,alhamdulillah new package item according picture delivery long yeah know length delivery ppkm long gapapalah anyway mah according picture disappointed shipping,Negative
5,complete item lacks delivery long time ago,Negative
5,finally long time waiting order minute arrive even though time chat chat overloaded packed long time delivery day wanted order problem lacking long time,Negative
5,thankyou sis item suitable safe shame courier long time,Negative
5,price price accordingly quality okay fast delivery initially deceited long scared itemit turned days delivery situbondo east javathe mattress still hasnt opened wants taken new house,Negative
4,quality ordinary comfort hmm ordinary expensive price cardboard wrap damaged damaged item still hell want buy chewing mat make sure need hurry mattress doesnt use expedition services interrupted inthebox courier long come,Negative
5,item arrived yesterdaythanks sorry brush teeth directly pakr jdi video firstuse wrong sorting eventso delivery time already long enough add bangetttthe rest okaythanks friendly courier,Negative
5,items according picture packing safe unfortunately messy courier slow nonresponse,Negative
2,disappointed packing bad rich unloaded delivery long,Negative
1,size ordered basic small comes small packaging musty dus mess seller intention selling times already wrong packaging mess deliveryy long,Negative
4,already buying umpteent time shop quality never disappointed cman purchase rather disappointed little shipment rather slow,Negative
4,complete items okay quality low prices long delivery,Negative
5,really good wrong incisor cardboard bullet paper tangled okey sii gapapa shipping problem sii well wait long time whats estimates wait days,Negative
5,new pertima times order dsiniyes standard delivery isnt long holiday,Negative
5,first time package came mlm mlm rainy week well courier brother didnt think turned long package,Negative
1,rope long doesnt match drawing sellers response sellers response also less disappointed want buy dont buy also good value good value response also worse,Negative
5,bagusssssssorders dont know howeverjust buy herepushsss really ingredients bag especially pricecustomers also likerepeat order later sellerdelicious shopping hererarely wrong shipmenttq seller,Negative
5,anyway dont need items okay mantaaapppppppppppppppppp ga nyesell deh prices also cheap sold gaes delivery also okee slow steady steady basics tengkuuu sellerrrrrrrrrrrrrrrrrrrrrrrrrrrr,Negative
5,quality product okay cmn shipping rather long maybe overload,Negative
5,fragrant good resilience bad packaging bags everything comes usualcomplete safebut shipping rather slow,Negative
5,fragrant need doubt resilience mantaap packaging good broken bottle okay itemskurir friendly delivery rather slow broke one,Negative
5,wangi baccarat resilience bad packaging steady cheap siii nampol wanginya deliciousbut fairly long delivery,Negative
5,color chocolate according picture absorption bad absorbing material material smooth photo videoin problem directly given towel person ingredient really good price thick shipment also fast next ordered,Negative
5,funny socksi arrived long time right thing sent courier wrong antherin fact home someone else time stray toowhere look courier number hurts lot couriers asking package come doesnt get,Negative
3,bad small items dont fit feet even though legs small size old shipping process long,Negative
4,quality according price fast delivery standard packing hopefully use damaged later,Negative
4,bad packing cardboard period sides hubborn continues wrapped bubble finally dilates dents item appropriate quality decent approximately months ago broken tried first without water engine time packaging fast fast day courierthx,Negative
1,males courier ny gkmw rises according address continue dusk dus torn seal shipments also long minus bgt shope expres expedition seller also old chat,Negative
5,function well cheap steadythe drawback delivery long timebut thing store fault delivery side,Negative
4,item received well packaging shipping bit long cardboard packing doesnt bubbleewrap safe tool servesthanks,Negative
4,alhamdulillah even though delivery bit long biase days sby arrivedgoods function goodhopefully last sorry reduced star functionwhen gallon water runs n tools aq cas trs installed already g functionjust turn lights turn,Negative
3,packaging little longer dont know delivery also old color isnt order confirmation playing send ajah kapokmu kpn fortunately expedition lightning,Negative
2,price cheap quality bagus packaging old bgttt gue gue original see long time old packaging dent disappointed,Negative
5,price ok quality ok packaging delivery jabodetabek area included long advice request tell paper tp tp use disolated paper cuts damage paper,Negative
4,price proficient murcee electric power watts quality ingredients easy break crazy building cable ingredients lamp ball arent quite size lamp clamp tilted bru closed hard explain cant bright used taon long time delivery packed,Negative
4,damaged packaging may long cheap shipping items durable,Negative
1,quality rijekkalo ga rijek mh gabklan gabklan easy close bolhamits hard closed price patcharab electricity peot bastard tai dont need sell itwant sell trustworthy timesthe time rijeks item sent bubhal using bubble wrap possible broken shipping expeditionthe problem open removed closed bulhamwant enter video cant beill send video later chat,Negative
2,price accordingly quality good product broken bottom size decent disappointed item broken delivery long,Negative
3,price standard size capacity bad quality standard message delivery instant said process day later sent day sent item afternoon get home,Negative
2,small size quality malehoi pole price rather expensive ask blue color black info color ask send long disappointed kapok,Negative
5,nice items bad pricejust delivery store bit long overload easy installation,Negative
3,buy item forced lack goods must tone orderso long buy murmer item delivery stainlist dent dent,Negative
3,long time week problem also courier arrived around check items,Negative
5,color texture liquid resilience long lapting try another color color darkness lips brown skin rather blackish lips doesnt like darkness good good color nude nude shipping kilaaaattt new kmrnjm mesen today afternoon arrived jugak makasiiihh seller,Negative
5,resilience hours texture soft color nud fast delivery shipping service severe order must take office queue long average taking shopees order,Negative
5,mantapppp bgttttt order championaaaaaaaaaaaaaaaaaaaaaaaaaaa anabul suitable bgt seller delivery quickly wrap doesnt use long time package doesnt less definite subscription thnks u seller,Negative
5,ori product unfortunately cans dentbtw still longmakasi seller shopee pack courier,Negative
5,want make stock wet food eh anabul turned bored chicken salmon finally really made stock later deh fortunately exp packing coated cardboard box dent contents standard shipping,Negative
5,mantapppp bgttttt order championaaaaaaaaaaaaaaaaaaaaaaaaaaa anabul suitable bgt seller delivery quickly wrap doesnt use long time package doesnt less definite subscription thnks u seller,Negative
5,already subscribed item damaged shipping location long location morning late afternoon,Negative
5,already subscribed item damaged shipping location long location morning late afternoon,Negative
5,finally arrived also awaited life cat pouch haduuh time delivery used long time next dont like,Negative
2,price standard quality standard comfort standard roll sturdy turns still easy bend speed sellers response bad shipping long plus expedition first comes sheets pillowcases pillowsseller online doesnt reply chat ask cancellation rejected length delivery,Negative
5,delivery little longer unfortunately bought doesnt read description hour stone doesnt work good stuff,Negative
4,good bangeeeettttty sorry photo sm video originalbut rada disappointed deliverymaybe size item also small doesnt want wkwkwk overall items good pokonyathe pictnot disappointed itembut emg long time hihi,Negative
3,somewhat disappointed delivery delivery old please let seller later speed againthe watch okeee make change jammani,Negative
4,delivery dead watch also little long,Negative
5,taste fried price bad good quality item appropriate delivery bit long gapapa,Negative
5,really dont expect bgtsiii booking next day lgsg packing delivery dong malem also extraordinary symptiiiii ptwings neat packing leaked samsek little wet checked item leaked exp msh long timethank wingsssss,Negative
5,shipping speed good long time failed shipping product according order,Negative
1,broken noodles cpt delivery shop long time courier fast store response,Negative
5,packaging ok color conformity accordingly design accordingly time packaging fast delivery product accordinglyquality material according pricethe glue really stuck works rather difficult okthanks seller later want order shortcomings,Negative
5,quality comparable price form good price bad late brng color according cognition shipping lmaya cpet kurirny dah subscription,Negative
5,long obstacle shippedbut items received without defectseasy mengerakitnya already key install bolt,Negative
5,bangettt bagusthe cloth also goodprice according yabg datengdelivery also longdehhcan subscribed nihh nggae sempet photo problem already gasabar want use,Negative
5,packaging time rather slow arrived even though bbrp x delivery failed eskpeditionthanks,Negative
1,disappointed ive waiting long time doesnt another wrna,Negative
5,good defectsonly shipping quite long usually days arrivedits days wrong,Negative
5,bigss alhamdulillah disabled shipping rather slow maybe overload recommended guys steady,Negative
