,word,count,Sentiment,country
289,clothes,188,Neutral,ID
290,need,187,Neutral,ID
291,dent,186,Neutral,ID
292,luck,186,Positive,ID
293,chat,186,Neutral,ID
294,ago,184,Neutral,ID
295,subscribe,183,Neutral,ID
296,think,182,Neutral,ID
297,convenience,182,Neutral,ID
298,must,181,Neutral,ID
299,selling,181,Neutral,ID
300,subscriptions,179,Neutral,ID
301,fastthank,179,Neutral,ID
302,rubber,179,Neutral,ID
303,point,176,Neutral,ID
304,lacking,175,Neutral,ID
305,morning,174,Neutral,ID
306,definitely,173,Positive,ID
307,bags,173,Neutral,ID
308,rich,172,Positive,ID
309,purchase,171,Neutral,ID
310,blisters,170,Neutral,ID
311,number,170,Positive,ID
312,tq,167,Neutral,ID
313,given,166,Neutral,ID
314,important,166,Positive,ID
315,different,166,Neutral,ID
316,umpteenth,166,Neutral,ID
317,review,165,Neutral,ID
318,discount,165,Neutral,ID
319,nothing,164,Neutral,ID
320,hours,164,Neutral,ID
321,goodvery,164,Neutral,ID
322,turned,164,Neutral,ID
323,star,163,Neutral,ID
324,repeat,163,Neutral,ID
325,sending,162,Neutral,ID
326,min,161,Neutral,ID
327,food,161,Neutral,ID
328,usual,160,Neutral,ID
329,bagus,160,Neutral,ID
330,flash,159,Neutral,ID
331,big,159,Neutral,ID
332,stores,158,Neutral,ID
333,functioning,157,Neutral,ID
334,yaa,156,Neutral,ID
335,another,155,Neutral,ID
336,congratulations,155,Positive,ID
337,paper,155,Neutral,ID
338,white,154,Neutral,ID
339,torn,154,Negative,ID
340,nyampe,153,Neutral,ID
341,video,153,Neutral,ID
342,mas,153,Neutral,ID
343,later,152,Neutral,ID
344,tomorrow,152,Neutral,ID
345,ordinary,151,Neutral,ID
346,electricity,151,Neutral,ID
347,late,149,Neutral,ID
348,yeah,149,Positive,ID
349,power,149,Neutral,ID
350,pink,148,Neutral,ID
351,expensive,148,Neutral,ID
352,helmet,148,Neutral,ID
353,cepet,147,Neutral,ID
354,responsive,145,Positive,ID
355,competitive,145,Positive,ID
356,light,144,Neutral,ID
357,waiting,143,Neutral,ID
358,destination,143,Neutral,ID
359,goodoriginal,143,Neutral,ID
360,couriers,142,Neutral,ID
361,sharp,142,Neutral,ID
362,anyway,141,Neutral,ID
363,low,141,Negative,ID
364,basically,140,Neutral,ID
365,wear,139,Neutral,ID
366,medium,139,Neutral,ID
367,feels,139,Neutral,ID
368,taken,138,Neutral,ID
369,compared,138,Neutral,ID
370,goodthe,137,Neutral,ID
371,place,137,Neutral,ID
372,amanah,137,Neutral,ID
373,children,136,Neutral,ID
374,gift,136,Positive,ID
375,benefits,136,Positive,ID
376,bnget,135,Neutral,ID
377,packed,134,Neutral,ID
378,black,134,Neutral,ID
379,shoppe,134,Neutral,ID
380,colors,134,Neutral,ID
381,date,133,Neutral,ID
382,looks,133,Neutral,ID
383,keep,133,Neutral,ID
384,results,131,Neutral,ID
385,baby,131,Neutral,ID
386,reseller,131,Neutral,ID
387,smoothly,130,Neutral,ID
388,wangii,130,Neutral,ID
389,clock,130,Neutral,ID
390,stuff,129,Neutral,ID
391,fortunately,128,Neutral,ID
392,havent,128,Neutral,ID
393,future,128,Neutral,ID
394,willing,128,Neutral,ID
395,open,127,Neutral,ID
396,healthy,127,Positive,ID
397,matches,127,Neutral,ID
398,better,127,Positive,ID
399,isnt,127,Neutral,ID
400,electric,127,Neutral,ID
401,may,126,Neutral,ID
402,disabled,125,Neutral,ID
403,mr,124,Neutral,ID
404,school,123,Neutral,ID
405,duper,123,Neutral,ID
406,delivered,122,Neutral,ID
407,stock,122,Neutral,ID
408,said,121,Neutral,ID
409,tks,121,Neutral,ID
410,x,121,Neutral,ID
411,customer,121,Neutral,ID
412,fragrance,120,Neutral,ID
413,trustworthy,119,Positive,ID
414,jd,119,Neutral,ID
415,makasi,118,Neutral,ID
416,masks,118,Neutral,ID
417,glass,118,Neutral,ID
418,feature,118,Neutral,ID
419,usually,117,Neutral,ID
420,gercep,117,Neutral,ID
421,cm,117,Neutral,ID
422,blessing,117,Positive,ID
423,softness,117,Neutral,ID
424,last,116,Neutral,ID
425,okee,116,Neutral,ID
426,productthe,116,Neutral,ID
427,hijab,116,Neutral,ID
428,absorb,116,Neutral,ID
429,hesitate,115,Negative,ID
430,match,114,Neutral,ID
431,ya,114,Neutral,ID
432,possible,113,Neutral,ID
433,fine,113,Positive,ID
434,accepted,113,Positive,ID
435,economical,113,Neutral,ID
436,suits,113,Neutral,ID
437,blessings,113,Positive,ID
438,safety,112,Positive,ID
439,bangetttt,112,Neutral,ID
440,bgtt,112,Neutral,ID
441,socks,112,Neutral,ID
442,polite,111,Neutral,ID
443,two,110,Neutral,ID
444,great,110,Positive,ID
445,check,109,Neutral,ID
446,job,109,Neutral,ID
447,cepett,109,Neutral,ID
448,subscribing,109,Neutral,ID
449,came,108,Neutral,ID
450,getting,108,Neutral,ID
451,bang,107,Neutral,ID
452,going,107,Neutral,ID
453,speedthe,107,Neutral,ID
454,bright,106,Positive,ID
455,bigss,106,Neutral,ID
456,gapapa,105,Neutral,ID
457,length,105,Neutral,ID
458,fabric,105,Neutral,ID
459,back,105,Neutral,ID
460,ive,104,Neutral,ID
461,express,104,Neutral,ID
462,made,104,Neutral,ID
463,shirt,103,Neutral,ID
464,iron,103,Neutral,ID
465,doubt,103,Negative,ID
466,guaranteed,102,Neutral,ID
467,goodthank,102,Neutral,ID
468,sip,102,Neutral,ID
469,creamy,102,Neutral,ID
470,inthebox,102,Neutral,ID
471,normal,101,Neutral,ID
472,cpet,101,Neutral,ID
473,deliverythe,101,Neutral,ID
474,rope,101,Neutral,ID
475,soap,101,Neutral,ID
476,spicy,101,Neutral,ID
477,conditions,100,Neutral,ID
478,damage,100,Negative,ID
479,wait,100,Neutral,ID
480,disappointing,100,Negative,ID
481,tpi,100,Neutral,ID
482,aamiin,99,Neutral,ID
483,deliverythanks,99,Neutral,ID
484,bngt,99,Neutral,ID
485,yaaa,98,Neutral,ID
486,dear,98,Positive,ID
487,lights,98,Neutral,ID
488,others,98,Neutral,ID
489,especially,98,Neutral,ID
490,videos,98,Neutral,ID
491,full,98,Neutral,ID
492,tasty,98,Neutral,ID
493,l,98,Positive,ID
494,wants,97,Neutral,ID
495,okeee,97,Neutral,ID
496,trusted,97,Positive,ID
497,desk,97,Neutral,ID
498,plus,96,Neutral,ID
499,mayan,96,Neutral,ID
500,towel,96,Neutral,ID
501,recommend,95,Positive,ID
502,bgus,95,Neutral,ID
503,hanger,95,Neutral,ID
504,pack,94,Neutral,ID
505,kk,94,Positive,ID
506,outside,94,Neutral,ID
507,g,93,Neutral,ID
508,fastthe,92,Neutral,ID
509,cmn,92,Neutral,ID
510,wrapped,91,Neutral,ID
511,trs,91,Neutral,ID
512,night,91,Neutral,ID
513,makes,91,Neutral,ID
514,install,91,Neutral,ID
515,go,89,Neutral,ID
516,able,89,Neutral,ID
517,brand,89,Neutral,ID
518,smpe,88,Neutral,ID
519,bangettttt,88,Neutral,ID
520,sleep,88,Neutral,ID
521,almost,87,Neutral,ID
522,wet,87,Neutral,ID
523,wkwk,87,Neutral,ID
524,hair,87,Neutral,ID
525,exp,86,Neutral,ID
526,jnt,85,Neutral,ID
527,kaka,85,Neutral,ID
528,sell,85,Neutral,ID
529,kurir,85,Neutral,ID
530,bgttt,84,Neutral,ID
531,dong,84,Neutral,ID
532,might,84,Neutral,ID
533,mksih,84,Neutral,ID
534,ka,84,Neutral,ID
535,bgs,84,Neutral,ID
536,seems,84,Neutral,ID
537,anabul,84,Neutral,ID
538,pillows,84,Neutral,ID
539,theres,83,Neutral,ID
540,simple,83,Neutral,ID
541,completely,83,Neutral,ID
542,defective,83,Negative,ID
543,defect,82,Negative,ID
544,deliver,82,Neutral,ID
545,address,82,Neutral,ID
546,look,82,Neutral,ID
547,wallet,82,Neutral,ID
548,veil,82,Neutral,ID
549,includes,81,Neutral,ID
550,trims,81,Neutral,ID
551,easily,81,Positive,ID
552,huawei,81,Neutral,ID
553,glue,80,Neutral,ID
554,afraid,80,Neutral,ID
555,stay,80,Neutral,ID
556,every,80,Neutral,ID
557,baguss,80,Neutral,ID
558,rest,79,Neutral,ID
559,value,79,Positive,ID
560,per,79,Neutral,ID
561,break,79,Neutral,ID
562,mantab,79,Neutral,ID
563,people,79,Neutral,ID
564,model,79,Neutral,ID
565,fixed,78,Neutral,ID
566,request,78,Neutral,ID
567,door,78,Neutral,ID
568,sandals,78,Neutral,ID
569,mantapp,77,Neutral,ID
570,anymore,77,Neutral,ID
571,estimated,77,Neutral,ID
572,padded,77,Neutral,ID
573,skin,77,Neutral,ID
574,sm,76,Neutral,ID
575,difficult,76,Negative,ID
576,sii,76,Neutral,ID
577,dah,76,Neutral,ID
578,see,76,Neutral,ID
579,bandung,76,Neutral,ID
580,motif,76,Neutral,ID
581,face,76,Neutral,ID
582,done,75,Neutral,ID
583,alhamdulilah,75,Neutral,ID
584,friend,75,Positive,ID
585,hehehe,75,Neutral,ID
586,paddy,75,Neutral,ID
587,hihi,74,Neutral,ID
588,lgi,74,Neutral,ID
589,huhu,74,Neutral,ID
590,table,74,Neutral,ID
591,checkout,73,Neutral,ID
592,makasii,73,Neutral,ID
593,several,73,Neutral,ID
594,expect,73,Neutral,ID
595,savory,73,Neutral,ID
596,increase,72,Positive,ID
597,j,72,Neutral,ID
598,estimation,72,Neutral,ID
599,sdh,71,Neutral,ID
600,take,71,Neutral,ID
601,recommendations,71,Neutral,ID
602,aga,71,Neutral,ID
603,including,71,Neutral,ID
604,crazy,71,Negative,ID
605,heavy,71,Neutral,ID
606,oath,70,Neutral,ID
607,buble,70,Neutral,ID
608,mantappp,70,Neutral,ID
609,coming,70,Neutral,ID
610,pants,70,Neutral,ID
611,si,70,Neutral,ID
612,trimakasih,70,Neutral,ID
613,basreng,70,Neutral,ID
614,checked,69,Neutral,ID
615,hand,69,Positive,ID
616,gk,69,Neutral,ID
617,expected,69,Neutral,ID
618,got,69,Neutral,ID
619,goto,69,Neutral,ID
620,brg,68,Neutral,ID
621,expectation,68,Neutral,ID
622,noodles,68,Neutral,ID
623,matter,67,Neutral,ID
624,arrives,67,Neutral,ID
625,wow,67,Positive,ID
626,obstacles,67,Negative,ID
627,double,67,Neutral,ID
628,elegant,67,Positive,ID
629,cats,67,Neutral,ID
630,uses,66,Neutral,ID
631,opinion,66,Neutral,ID
632,guys,66,Neutral,ID
633,confused,66,Negative,ID
634,sister,66,Neutral,ID
635,silicone,66,Neutral,ID
636,cargo,66,Neutral,ID
637,gasket,65,Neutral,ID
638,orange,65,Neutral,ID
639,favorite,65,Positive,ID
640,liquid,65,Neutral,ID
641,whats,64,Neutral,ID
642,dehh,64,Neutral,ID
643,daily,64,Neutral,ID
644,lahh,64,Neutral,ID
645,hrga,64,Neutral,ID
646,dsni,64,Neutral,ID
647,markotop,64,Neutral,ID
648,end,64,Neutral,ID
649,installation,64,Neutral,ID
650,perfect,63,Positive,ID
651,overload,63,Negative,ID
652,tengkyu,63,Neutral,ID
653,poko,63,Neutral,ID
654,could,63,Neutral,ID
655,services,63,Neutral,ID
656,overalls,63,Neutral,ID
657,tv,63,Neutral,ID
658,mantep,62,Neutral,ID
659,makasih,62,Neutral,ID
660,blue,62,Neutral,ID
661,peking,62,Neutral,ID
662,lipstick,62,Neutral,ID
663,patient,61,Neutral,ID
664,wanted,61,Neutral,ID
665,minus,61,Neutral,ID
666,hot,61,Neutral,ID
667,relatively,61,Neutral,ID
668,packages,61,Neutral,ID
669,knife,61,Neutral,ID
670,eat,61,Neutral,ID
671,toothbrush,61,Neutral,ID
672,red,61,Neutral,ID
673,let,60,Neutral,ID
674,mah,60,Neutral,ID
675,ask,60,Neutral,ID
676,pcs,60,Neutral,ID
677,sold,60,Neutral,ID
678,short,60,Neutral,ID
679,asked,60,Neutral,ID
680,xl,60,Neutral,ID
681,teeth,60,Neutral,ID
682,perfume,60,Neutral,ID
683,sweet,59,Positive,ID
684,water,59,Neutral,ID
685,customers,59,Neutral,ID
686,lightning,59,Neutral,ID
687,add,59,Neutral,ID
688,paking,58,Neutral,ID
689,front,58,Neutral,ID
690,run,58,Neutral,ID
691,instead,58,Neutral,ID
692,business,58,Neutral,ID
693,pic,58,Neutral,ID
694,variant,58,Neutral,ID
695,change,58,Neutral,ID
696,foam,58,Neutral,ID
697,sticky,58,Neutral,ID
698,indeed,57,Neutral,ID
699,coated,57,Neutral,ID
700,way,57,Neutral,ID
701,rough,57,Neutral,ID
702,amount,57,Neutral,ID
703,faster,57,Neutral,ID
704,bigsss,57,Neutral,ID
705,sy,57,Neutral,ID
706,away,57,Neutral,ID
707,sunday,57,Neutral,ID
708,dark,57,Neutral,ID
709,nerawang,57,Neutral,ID
710,saturday,56,Neutral,ID
711,okey,56,Neutral,ID
712,effect,56,Neutral,ID
713,actually,56,Neutral,ID
714,poll,56,Neutral,ID
715,kind,56,Positive,ID
716,month,56,Neutral,ID
717,interesting,55,Positive,ID
718,monday,55,Neutral,ID
719,result,55,Neutral,ID
720,bolt,55,Neutral,ID
721,green,54,Neutral,ID
722,turn,54,Neutral,ID
723,btw,54,Neutral,ID
724,careful,54,Positive,ID
725,dateng,54,Neutral,ID
726,cepettt,54,Neutral,ID
727,save,54,Positive,ID
728,pay,54,Negative,ID
729,brush,54,Neutral,ID
730,stars,54,Neutral,ID
731,fastthanks,53,Neutral,ID
732,warp,53,Neutral,ID
733,needs,53,Neutral,ID
734,lack,53,Negative,ID
735,sales,53,Neutral,ID
736,would,53,Neutral,ID
737,unboxing,53,Neutral,ID
738,co,53,Neutral,ID
739,online,53,Neutral,ID
740,certainly,53,Positive,ID
741,part,53,Neutral,ID
742,body,53,Neutral,ID
743,wasnt,52,Neutral,ID
744,bangetttttt,52,Neutral,ID
745,friends,52,Positive,ID
746,bangeet,52,Neutral,ID
747,postage,52,Neutral,ID
748,powder,52,Neutral,ID
749,dech,52,Neutral,ID
750,brown,52,Neutral,ID
751,conformity,52,Neutral,ID
752,anything,51,Neutral,ID
753,ingredient,51,Neutral,ID
754,lots,51,Neutral,ID
755,stitches,51,Neutral,ID
756,slippery,51,Neutral,ID
757,band,51,Neutral,ID
758,pricegood,50,Neutral,ID
759,forget,50,Negative,ID
760,allah,50,Neutral,ID
761,sure,50,Positive,ID
762,mkasih,50,Neutral,ID
763,watch,50,Neutral,ID
764,lips,50,Neutral,ID
765,crispy,50,Neutral,ID
766,becomes,49,Neutral,ID
767,makasiii,49,Neutral,ID
768,deliverygoods,49,Neutral,ID
769,gets,49,Neutral,ID
770,jga,49,Neutral,ID
771,lah,49,Neutral,ID
772,matte,49,Neutral,ID
773,dry,49,Neutral,ID
774,rain,48,Neutral,ID
775,pengiriman,48,Neutral,ID
776,smell,48,Neutral,ID
777,oke,48,Neutral,ID
778,packingthank,48,Neutral,ID
779,dsini,48,Neutral,ID
780,fits,48,Neutral,ID
781,expired,48,Neutral,ID
782,mattresses,48,Neutral,ID
783,although,47,Neutral,ID
784,functions,47,Neutral,ID
785,fortune,47,Neutral,ID
786,survivors,47,Neutral,ID
787,twice,47,Neutral,ID
788,okaythank,47,Neutral,ID
789,malem,47,Neutral,ID
790,bottle,47,Neutral,ID
791,fried,47,Neutral,ID
792,bed,47,Neutral,ID
793,gemes,46,Neutral,ID
794,side,46,Neutral,ID
795,hour,46,Neutral,ID
796,owner,46,Neutral,ID
797,pictures,46,Neutral,ID
798,timely,46,Neutral,ID
799,continued,46,Neutral,ID
800,luka,46,Neutral,ID
801,shoes,46,Neutral,ID
802,kids,46,Neutral,ID
803,hr,46,Neutral,ID
804,become,46,Neutral,ID
805,fresh,46,Positive,ID
806,eh,45,Neutral,ID
807,help,45,Positive,ID
808,nya,45,Neutral,ID
809,making,45,Neutral,ID
810,productgood,45,Neutral,ID
811,java,45,Neutral,ID
812,smg,45,Neutral,ID
813,looking,45,Neutral,ID
814,premium,45,Neutral,ID
815,blom,45,Neutral,ID
816,severe,45,Negative,ID
817,soon,44,Neutral,ID
818,pdhl,44,Neutral,ID
819,desired,44,Positive,ID
820,initially,44,Neutral,ID
821,respond,44,Neutral,ID
822,mesen,44,Neutral,ID
823,basics,44,Neutral,ID
824,qualitygood,44,Neutral,ID
825,city,44,Neutral,ID
826,bracket,44,Neutral,ID
827,maybelline,44,Neutral,ID
828,shope,43,Neutral,ID
829,trying,43,Neutral,ID
830,event,43,Neutral,ID
831,gt,43,Positive,ID
832,land,43,Neutral,ID
833,feet,43,Neutral,ID
834,extra,43,Neutral,ID
835,set,43,Neutral,ID
836,money,43,Neutral,ID
837,edge,43,Neutral,ID
838,unique,43,Neutral,ID
839,hold,43,Neutral,ID
840,snacks,43,Neutral,ID
841,sports,43,Neutral,ID
842,bamboo,43,Neutral,ID
843,suitability,43,Neutral,ID
844,dr,42,Neutral,ID
845,buyer,42,Neutral,ID
846,dtg,42,Neutral,ID
847,somewhat,42,Neutral,ID
848,cotton,42,Neutral,ID
849,orderthank,42,Neutral,ID
850,saving,42,Neutral,ID
851,broke,42,Negative,ID
852,clean,42,Positive,ID
853,shocked,42,Negative,ID
854,jakarta,41,Neutral,ID
855,hurry,41,Neutral,ID
856,cans,41,Neutral,ID
857,bangeeet,41,Neutral,ID
858,arrivedthe,41,Neutral,ID
859,awaited,40,Neutral,ID
860,paketan,40,Neutral,ID
861,luv,40,Neutral,ID
862,cod,40,Neutral,ID
863,deliverygood,40,Neutral,ID
864,estimates,40,Neutral,ID
865,materials,40,Neutral,ID
866,road,40,Neutral,ID
867,abang,40,Neutral,ID
868,spices,40,Neutral,ID
869,busy,40,Neutral,ID
870,bottom,40,Neutral,ID
871,composition,40,Neutral,ID
872,nude,40,Neutral,ID
873,pke,39,Neutral,ID
874,helpful,39,Positive,ID
875,sustenance,39,Neutral,ID
876,ply,39,Neutral,ID
877,effective,39,Positive,ID
878,mumer,39,Neutral,ID
879,sllu,39,Neutral,ID
880,shipments,39,Neutral,ID
881,say,38,Neutral,ID
882,photographed,38,Neutral,ID
883,complicated,38,Neutral,ID
884,confirmation,38,Neutral,ID
885,nyesel,38,Neutral,ID
886,thats,38,Neutral,ID
887,period,38,Neutral,ID
888,paid,38,Neutral,ID
889,mainly,38,Neutral,ID
890,elastic,38,Neutral,ID
891,course,38,Neutral,ID
892,ready,38,Positive,ID
893,festive,38,Positive,ID
894,mantull,38,Neutral,ID
895,advice,38,Neutral,ID
896,blum,38,Neutral,ID
897,lmyn,38,Neutral,ID
898,feel,38,Neutral,ID
899,mpasi,38,Neutral,ID
900,life,37,Neutral,ID
901,principal,37,Neutral,ID
902,pick,37,Neutral,ID
903,surabaya,37,Neutral,ID
904,sellerrr,37,Neutral,ID
905,large,37,Neutral,ID
906,trmksh,37,Neutral,ID
907,kirain,37,Neutral,ID
908,rose,37,Neutral,ID
909,navy,37,Neutral,ID
910,spirit,37,Positive,ID
911,besides,37,Neutral,ID
912,accept,37,Positive,ID
913,thousand,37,Neutral,ID
914,third,37,Neutral,ID
915,dehhh,37,Neutral,ID
916,room,37,Neutral,ID
