,rating,Late reviews,Sentiment score
15397,5.0,rate store fullgood product according basebut want complain transport dhl sending quite slower transportif ordered choose dhl,Negative
15540,5.0,none like lotthe best bouncingthe shop delivered fastordered yesterday noon later noon pig,Negative
15707,5.0,gray beautifulthe fabric softbut better hurt later normalconsolidation people without soft bed sleepthis answer,Negative
15746,2.0,floorone colored fabric another color sewn skeptical expensive shipping slow delivery call according transport follow againfaifered slowlysimple sent province provincehow many days days,Negative
15907,4.0,come take sun footake mattressbut dont know long used collapse transport okay,Negative
16037,5.0,good product thick thick thick sleep longer back pain deliver quickly bag pack little,Negative
16233,4.0,product takes long delivery timeproduct quality suitable pricethe transportation package damaged affect product,Negative
16382,4.0,tight including ok feel delivery slow broken slowly,Negative
16605,5.0,top factory direct sales light brown twoinch thick soft light fast fiber packing long long collapse worth,Negative
16781,3.0,thick lie disappointed slow chance subsidizebut sleep disappointed slow chance subsidizebut sleep disappointed slow chance subsidizebut sleep disappointed slow chance subsidize,Negative
16915,5.0,ordered waking pain every morningnow back pain disappearscan sleep longer wake feel good must try,Negative
17032,4.0,sensitive delivery wait long time parcel bag broken form inside damaged products thoughtbut badsoft enoughput mattresssleep comfortablecompared price considered worthwhile,Negative
17053,2.0,shop little slow always aware chat kerry postponed times enough bag broken bag good scream penetrate mattress,Negative
17162,3.0,lets broken stars slowlyand thickness thought would inches price fast sales quite cheap serious thickness pricewhy use sewing white threadmakes clear stitching done,Negative
17245,5.0,trade complete according color orderedbeautiful fresh fool eyes according ad thick thin thicker thisthe price expensive transportation slow fast days get,Negative
17287,5.0,received fast ordered received dhl thought would slow received fastproduct quality partloftynot thick thinkbut get bad quality according price,Negative
17576,5.0,floating neck waiting order low price product quality changesent beforegive stars longreally love shopi dont know long eat think taste fragrance distorted since around glands taste distorted,Negative
17582,3.0,order green teasend time protein content quite roughshaking lot bubblesnot intense clear water smell matcha fragrantbittereat morning muchpaulong came eat episode going bed dizzy againbut cheaper brands normally soy isolate never kind symptom,Negative
17585,3.0,ordered many timesthe locked zipper bag chocolate flavor often problem closed zipper two sides sameordered twice samemust find zip bag put another layerafter avoided order shock,Negative
17589,5.0,received soy protein isolate bags flavors according accurate complete wrapped bubble put delivery box successfullyisans deliveryorder friday day okaythe taste tasting,Negative
17596,5.0,ever eating first maker protein difficult personally eating milk alreadywith thin bean smellmaker recommendedwill long delivering packboard box well,Negative
17634,5.0,received productbut box like footprint product fully orderedopen first shocking protein bag bigger thinkbut send bit slow expensive deliverybut havent tried yetdont know eatbut try first,Negative
17710,5.0,protein isolate lb soi protein isolate non whey whey lose fat add muscletry buy fatherhavent tried good bag,Negative
17730,5.0,receiving product soy protein isolate found product taste stiff mixed waterbut mixed milk makes drinking convenient,Negative
17739,5.0,finally vanilla flavorthis waiting long time doesnt like chocolateeat natural flavorwhen taste hurriedopen sachetsweet easy eatmaker melt quite wellthe next round must buy stock fear,Negative
17759,5.0,soy protein isolate grams lot big bags flash loans reduced delivery fee baht return coins shipping company call deliveryreceived product days,Negative
17891,5.0,soy protein isolate soy soi protein isolate non whey size tasteless plus powder spoon every bag envelope detailed instructions,Negative
17949,5.0,received sensitive itemsuitable peoplereally slowthe pack okthe taste correcteat hard,Negative
18018,5.0,repeated smell fragrantoverwhelminglydelicious chocolate flavor sweet price cruel,Negative
18047,5.0,eat easy lean sensitivitylost lost fatigue fasterdont worry protein lacking people dayfitness chilledlike order continuously long time,Negative
18075,5.0,prepare product slower every product allergic shipping case fast delivery product damagedcall deliverygood speakprovide stars transported employees send,Negative
18086,4.0,ordered day shop sent day received day spent almost days deliveryconsidered quite slowlybut shop sent product completely pack damaged,Negative
18294,5.0,soy protein isolate soi protein isolate non whey maker drink morning evening exercise immediately added sugar,Negative
18389,5.0,soy protein isolate lb,Negative
18400,5.0,fast deliverypack wellnot expensiveusually eat tastenot difficult eatbut around front try eat chocolate,Negative
18426,4.0,soy protein isolate lb soi protein isolate non whey whey reduce fat increase muscle price goodbig bag,Negative
18471,5.0,received productused eat chocolate protein taste goodbut round try turn green tea bored,Negative
18630,4.0,products shipped good condition quantity eat read back packingbut broken one stardue slow delivery,Negative
18706,4.0,star broken zip bag problem shut long ordered many bag closed beforefast deliveryworth price,Negative
18761,5.0,delivery shopthe product pack quite oka little collapse box inside nothingcheck dont leaktry eat work ordered ps experience considered long enough,Negative
18853,5.0,get fastgood product packthe taste considered okay mixed milk chocolate milk deliciousnot stinking rancid easy eatvery cheap buy pro,Negative
18901,5.0,soy protein isolate lb soi protein isolate grams non whey way reduce fat increase muscle cheapest proteinmust thisget protein equivalent brands,Negative
18926,5.0,bag large chocolate flavor cool soft secretly meltedmust try regular water makertaste freshness eating difficult smell little,Negative
18955,5.0,soy protein isolate big baggood quality productsgood valuefast deliveryrecommend shop,Negative
18980,5.0,bag big eaten long time still never eaten dont know eat good package fast delivery,Negative
19126,5.0,even though left wang noidue transportation problem within shopfor long time doesnt break good shockhow drink brands come buy original,Negative
19201,5.0,fast deliverygood product packtake period time pay delivery date longvery cheaphundreds big bag,Negative
19267,5.0,used order bagdrinking mixing coffee pea isolate protein twice day quit using artificial cream health ordered bagdrinking mixing coffee pea isolate protein twice day quit using artificial creams health,Negative
19274,5.0,received product shop shipped since problem caused residue service company received slowly week fortunately product damage service goodthrough customers affordable quality good quality different brands taste yet tried ok finished another order,Negative
19309,5.0,received product sending fast waiting long time inexpensive bought sent sisterhave never tried thiscome support new,Negative
19370,5.0,matell soy protein isolate lb soi protein isolate pounds grams whey non whey reduce fat increase muscles matell soy protein isolate lb soi protein isolate pounds grams whey non whey reduce fat increase muscles matell soy protein isolate lb soi protein isolate size,Negative
19492,5.0,big bag fast delivery damageokay pricetry eat look taste freshness little bitter tastethe powder quite intensemust long water solvent,Negative
19569,3.0,send slowly pack good put product box send itno bubble wraprisk product broken damaged,Negative
19601,5.0,received product well box shocked littlewrapped bigger think overall product goodthe date expiration long time,Negative
19733,5.0,big bag lot bags plus inexpensive buy broke reduce price little morenot slow,Negative
19841,5.0,received item try eatthe big envelope size worth transportation distance little longer understand kowit situationthe soybean garden sweetis bitter,Negative
19897,5.0,send well order second round soy protein isolated comes eat look like streamlined style taste bad think eaten flavor,Negative
20120,5.0,soy protein powder isolate grams protein concentrated sugar delivery sensitive price expensive gramsprice less baht,Negative
20200,5.0,solve score first bag broken leak officerstill sending backsend new bag cute long customer,Negative
20275,5.0,soy protein isolate lb soi protein isolate grams non whey way reduce fat increase muscle soy protein isolate lb soi protein isolate grams non whey way reduce fat increase muscle soy protein isolate lb soi protein isolate grams non whey way reduce fat increase muscle,Negative
20317,5.0,box bitch comes inside shockproof bag new products order production products fast delivery eat difficult dissolve slowly whey brandbut dissolved,Negative
20331,3.0,give three stars shop delayed little slow product get many daysas product quality cannot explained good body effective,Negative
20389,5.0,order send one long time prepare deliver littletry product use wellnormally item stuck house even though already filled,Negative
20413,5.0,advantages suck everything strong carpet catch sucked cheap price disadvantages us considered loud us little heavywe stayed sucked really sensitive machinebut stayed sucked overall ussatisfied productmust wait see long,Negative
20431,4.0,machine small lazy assembling time use remove time collect suction power severe use long time tinnituswait room knock order date received products sensitive,Negative
20432,5.0,shop pack package boxbut delivery single layer package slowas far looks eyes broken sheep likely know try use,Negative
20471,5.0,weakness opening button little bit gesting afraid using long time broken cannot turned sound machine sucked loudlyin apartment room rarely kept sound fear disturbing peoplewhen sucking hurry suck hurry see grandchildren commentsbut sense loud,Negative
20482,5.0,product good sucker available device used suck ground relatively difficult frustrated vacuuming slightly left okay slowthis brand dust many machines house housewife home self worth price,Negative
20512,4.0,sales person slowwaiting product long time impatient person wait days overall,Negative
20514,5.0,administrator answered fastthe tax invoice delivered suspension friday received sundaythe test goodsucking along corner cleanthe weight muchcan used suck ceilingthe sound normal level vacuum cleanerif held long time hotto change plug corner,Negative
20557,4.0,little trialfound longstyle suction head goodloud much another brandbut connected short style found wind machine making dust pressure sucklong power cord availablethe price expensivethe problems found,Negative
20601,5.0,delivery widei product first used impressedis dust sucked outlongterm must try againwhoever looks vacuum introduce storevery much,Negative
20607,5.0,headsif per long leg head quite loosenot fastbut sucked wellin picture vacuuming mattresssent soon soon admin answer goodoverall good,Negative
20614,4.0,slow delivered slowly delivered slowly delivered slowly delivered slowly delay slow delay slow delay slow delay slow delay slow delivered slowly delay slow delay slow delay slow slow deliveryvery slowly delivered slow delivered slowly delayed slowly delivered slowly delay slow delivered slowly delay slow delay slow delay slow delayed slowly delivered slowly delivered,Negative
20618,4.0,prepare deliver product quite long time test usagequality according product pricewell sucked fast fast must cleaned,Negative
20741,4.0,please deduct stardelivery slow admins telling system error administrator answered wellthe product damaged heads change,Negative
20776,5.0,beautifuldelivery sensitive wellaimed long time buy hesitant would white blackbut blackbought disappointed sucked,Negative
21097,5.0,try use wellvery dustling guide english language brandgood long cable storagebought sale worthwhileproduct suitable pricewhat damaged,Negative
21106,5.0,hesitate long time price strong afraid crumbling fast decided buy tell goodhot problem,Negative
21115,4.0,requesting star deduction due black orders plus filters white person orderthe shop report product whatbut want useso returntake slow delivery week sound first opening secretly shocked,Negative
21151,5.0,first fast ordered icons three oclock received product late afternoon outside product bubble wrapbecause rainy seasonthe inside plastic covering productin envelope wrapped suction headthere penny product completetry suck itnormal sounds seen general vacuum cleaners,Negative
21305,5.0,try suck dust okaybut machine sensitivelong term isnt strong,Negative
21512,5.0,think good suck try little hair fullbut secretly hard held long time maybe pain arms good,Negative
21566,5.0,products look good look effectivebut must try firstdelivery slowbut probably pro shipping damage,Negative
21597,4.0,shop packed well damage personally teaching trade bad heavy head handlewhen floor sucks long timeor according envelope angle ache arm parts device lighteasy removable filter boxdifficult,Negative
21629,5.0,aiming long time deerma waiting good pricethe first time long timethe item lazy person islove head young sucking cornerbut holding formim tiredbut overall like ps horror dust,Negative
21698,5.0,fast waiting daysucking enough hair sucks comfortablythe material solid pastelooks strong enoughthe disadvantage machine hot suitable wide areasthat takes long time suckwith design motor near handle must used suck enough cleanoverall recommendedwell price used,Negative
21706,4.0,pack goodbut rarely shockproofat beginning first puzzledbecause didnt study trying plugged plug use long linesecretly scared besideoverall worth,Negative
21766,4.0,star broken color wrong send slowly black color wait enough back black waitingbut doesnt stick anything used well feel fleet color wrong must wait black color item black wronghave opportunity come back buy,Negative
21773,5.0,product covereddelivery takes long time inexpensive quality packed well dense damaged,Negative
21848,5.0,try well suck enough recommended suck long time machine hot drum used well suck enough recommended suck continuously long time machine hotcan strong recommended suck continuously long time machine hot drum well used,Negative
21933,5.0,good suction keep price use long timedont know much price isit considered worth delivery raped product damaged sucking strongdont know much price isit considered worth delivery raped product damaged,Negative
21998,4.0,ocnun usedokaythe water heavy light loud accept star broken slow delivery,Negative
22349,4.0,wrap package shop delayed deliveryheavy machine high pitching sleeves suction long line fast hot machinesound wrapped parcelthe shop delayedheavy machine high pitching sleeves suction long line fast hot machinesound wrapped parcelthe shop delayedheavy machine high pitching sleeves suction long line fast fast,Negative
22428,4.0,personally looking long time buy brand decide buy according reviewwith right pricetry suck suck debris machine little warmthe sound normal vacuum cleaner loud,Negative
22488,5.0,send quickly buy episodes flash sale cheaper episode flash much worthwhile sufficiently sucks long time,Negative
22666,3.0,shop slow transport slowto destination must wait days get confused,Negative
22687,5.0,product goodbut shop put address wrongcan cause slowbecause item sent wrong payment unit,Negative
22713,5.0,transport slow know wrong sent wrong way,Negative
22718,5.0,wrapped well delivery quite slow maybe machine quite heavy forsucking get tired,Negative
22816,5.0,prepared quite long timebut delivery sensitivegood quality reviewhot problem,Negative
23627,5.0,terms product packs bubble wrap product boxthere package boxbut fortunately product damaged broken stars matter product scales charcoaleasy use bluetooth connect appminimal design according overall brand ok slowly transported,Negative
23733,5.0,product sooner fast flash sale still delivered slow wait long time get bubble wrapped single layer gradually thin transport quite goodso damage damaged used normally,Negative
24247,5.0,received product successfullythe product fast dont wait long good product weigh lets weighhave told bone fat mass assess initial health,Negative
24437,4.0,used well calculate body scalebut try compare machines seems enough brokenif find bad transport box broken,Negative
24515,4.0,pack good shock together cut star slow transportall,Negative
24527,4.0,wait product delivery long product damage coverthe color spotless,Negative
24564,4.0,order time product sent get item behind order day connect app android quite slowsometimes star broken,Negative
24729,5.0,delivery stores shipping kerry transport shops product pack product honorizing long time take goodafter hesitating several months decided along bought,Negative
24791,5.0,shop sensitivepack product day latewe things confused,Negative
24839,5.0,see review yei imagine delivered slowlybut expected order noon yesterday afternoon todayvery impressedgood productto fill charcoalwho hesitant buy cheapest price,Negative
24842,4.0,product completely accurate takes long deliverybut delivery stacked againthere thin bubblewhat product damaged,Negative
25273,2.0,send widei point wrap bad thin bubble risk product damageif passedand internal systemcan used long term even losing moneysaying shop buying shop firmly improvedis promisebecause sentlose,Negative
25286,5.0,send little slowdo put box bubble covered according picture qr code register bubble sticker transporting overlayadmin told labelcan kept thisthe rest would leave fear kovad,Negative
25303,4.0,waiting long timetry use quite satisfiedcan connect mobilethe device done advertisedthere characters damaged,Negative
25378,5.0,seeing others told slowly days consideredordered day day day kerry calledbut lets blame packagebecause wrapped bubblesome boxes slantingbut damaged product box xiaomi well cut anything,Negative
25398,5.0,received productsent quite slowlybecause press order informed delivered slowlyand chat ask product preorder ready sendadmins answered us thatready send within days enough orderi wait days secretlysend items wrap shockproofa little bit boxbut product damaged,Negative
25409,5.0,use well enough get heavy machine send mobile app calculate everything time calculate weight loss programplus remember personcan use many people,Negative
25650,5.0,send little slow guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisology guisusology guisusology guisology guisology guisusology guisusology guisology guisusology guisology guisology guisusology guisusology guisus guidus guidus guidus guidus guidus guidus guidus guidus guidus guidus guidus guidus enems enems enems enems enems enems enems entormusives enfulus enfulus enfulus enemses enemicus enemses enemy enemy enemy enemy enemy enemy enemy enemy enemy enemy enemy enemy enemy,Negative
25655,4.0,used normallybut slowly deliveredenough request cancel storesthe restaurant refused immediately informed sent,Negative
25773,3.0,kerry defective box delivered slower usual day product works well,Negative
25869,2.0,waiting long timelong forgot buying pack fear crumblingdont put anything boxbubble wrap comes somewell thats broken sentnot impressed,Negative
26361,5.0,received product completely correctlygood packwith bubble shockproofbut transportation problem due covoid lawthen stopped receiving parcel legality reject transport cycle call customer directlyuntil time called inform deposit forensicsso pick item quite long time,Negative
26768,5.0,wrap product tightlywaiting long timethe condition product normal condition broken,Negative
26846,2.0,understand right amount used twice broken good quality close image completely delivery slow province,Negative
27022,4.0,nonstick glass frame woodit loud foreverbut shop answered wellbut transport comes slowly use day waste time,Negative
27693,5.0,used goes belongs others talk night sky day met everything dont fall everything heart,Negative
27769,5.0,received product alreadydelivery slowlya little disappointed think smart tvbut actually notblame looks wrong dont look good,Negative
27820,3.0,well everything broken stars delivered slowly order lot entrancethe incoming thing able get lock new order terminated price better boughtfully paid stuff guard lack customers pulling customers lot days,Negative
27909,2.0,preparing product long timeorder pay product shifting preorders,Negative
27920,4.0,star broken transport relatively slow,Negative
28005,4.0,broken star transported slowly,Negative
28077,5.0,ultimate ability told permanent size also said collateral permanent permanent resignation also said collateral permanent permanent resignation also said ultimate pellules told permanent say thatlatest latest permanent permanent resignation also said collateral permanent permanent resignation also said collateral told permanent size,Negative
28111,5.0,dodo dumbbell dumbbell kg dumbbell black bellbell black bellbell weight lifting weight weight build muscleadjustable fitness dumbbells send little slow understand preorder,Negative
28116,4.0,thank muchthe product arrivedcome slowlybut understand stuff boxnot damaged,Negative
28187,4.0,latest shop answer chat deliver newly defective products renan long get complete weight weight damaged workevery piece sloppy stainssend products old fertilizer sacksthe condition like warehouse long time shop respond chat responsible suggest order store,Negative
28198,1.0,sent slowly almost sundayunderstand may delivery agency wellunderstand story picture picture want use word deliciousbut carelessknowing heavywill still pack like megood broken lost beyond shop,Negative
28292,4.0,broken slowly star addition product considered good,Negative
28431,5.0,transportation little slow quality products okdo damage cover,Negative
28449,1.0,waiting product monthvery bad wait long timethe shop know aboutnot according product,Negative
28785,5.0,short stalking first thinking long stembecause used use brand box buy lazda long stemdo know one real fake bought per personmaintain,Negative
28793,1.0,product problemsthe droplet time tube examination sucked slowly go find product change product shop read answer,Negative
28809,5.0,product complete damaged ordered sunday night wednesday afternoonconsidered time soonbut slow order times,Negative
28817,5.0,received itemslower shoppy set day product fully receivedthe product good small hurt,Negative
28824,5.0,received product ordered wait long time boson find omorons guarantee waste pass thai standard precision know effect drops drops,Negative
28826,5.0,good products fully delivered according number takes little longer five days round shockproof bad transport box product damaged call delivery,Negative
28844,5.0,send item slowly cancel finally came already able get,Negative
28860,4.0,status fast slowly delivered slowly ordered daydont know errors,Negative
28880,5.0,kovillo check set nose slow delivery bad transport box wreck product damagedbut seriousbecause person sent yet young agethere may need sensitivityso threw box car soon race time,Negative
28889,5.0,box mother okay offense transport storewell side inside damaged wrapped okay delivery long considered normal,Negative
28921,5.0,ordered boxes buy price baht per box kept housefor emergency usethe shop shipped product quite sloworder day export shop date,Negative
28924,5.0,cheaper storesit takes quite longer shipthe pack comes normally damage pieces orderedin transportation section fast delivery normally,Negative
28951,4.0,send slowly please deduct star bought check beforeill probably use people infected aroundorder,Negative
28998,4.0,ok product fully orderedthe pack finebut problem answering admins question delivery slow ordered days prepare deliverasked read read slowly answered match askeduntil cancel didnt send send,Negative
29044,5.0,received productproducts meet image advertisedthe delivery correct wait longer delivery used testbut think problem,Negative
29128,2.0,shop slowly sent date order almost daysboth daysif notification notchat automatic answer messageone side box sealing stickerwant return pay ownwhen shop responsewho order store consider,Negative
29129,5.0,received product quickly delivered immediatelyordered secondgood hurt short rod long,Negative
29143,3.0,delivery slow waiting long time sendmany discouraged many roundsbut reaching transportthe transportation fastthe packing criticism done well,Negative
29232,5.0,receivedthe box blessbut sent slowlyif hurry use dont recommend itbut get complete order,Negative
29331,5.0,deliveryhow long waitgood quality products flaws damage little daily box inexpensive,Negative
29349,1.0,wholesale person slow followingwhen pressed cancel delivery refused sendasked askedi dont care people buy bad,Negative
29432,5.0,send product long time hurries order advancegood quality productsis short wooden rod model easy use hurt nose,Negative
29508,5.0,using dupla quite bit longer send order saturday wednesday brand large rod somewhat hurt small rod,Negative
29704,1.0,slow cursed send cancel still send still good fullestordered many days refused send scold,Negative
29759,1.0,sent slowly sun ordered day say hello askonly automatic message tells order today truecan say timesbecause saw didnt answer still good sendnot afraid cheatingbut need claritywhat itnot waiting wait,Negative
29765,4.0,prepare days considered little longer green spring long rod choose check mouth nosein examination mouth mouth refrain eating water checking minutes find omords guarantee waste thai medical standards precision know effect drops drops,Negative
29801,4.0,star broken slow really normally never long anything,Negative
29980,4.0,used know price direct product cover hipbio yang long rod nose guarantee waste find omords high precision pass thai standard know effect drops drops,Negative
30116,4.0,good product quality shockproofing star broken delivered quite slowly,Negative
30193,1.0,seller slow contact answer questions order product refuse deliver product cancel product refusing cancel deliver product consider service,Negative
30196,1.0,send item slowly wait staff didnt answer chat oncehow many times askwait many days send answer chat press cancel send immediately service seller terribleshould respond customers problemswhy passed days yet sent,Negative
30267,1.0,seller badno answer questiontell order slowly cancel orderrefused cancelsaying regret dont want waste time dont order pack gotthe service worst sales person dont order itsince ordering app worst shopfirst last,Negative
30274,1.0,response seller slow habe along readingonce enough didnt recommend atk like imitation,Negative
