,index,rating,caption,middle,reviews
33,47,1.0,"(Translated by Google) The courier is absent or what? 6.37 at Scan Send items, at 19.50 reasons for delivery time runs out. If it's not the intention of resign. Or look for work hard, instead it's absent. …"," The courier is absent or what? 6.37 at Scan Send items, at 19.50 reasons for delivery time runs out. If it's not the intention of resign. Or look for work hard, instead it's absent. …"," The courier is absent or what? 6.37 at Scan Send items, at 19.50 reasons for delivery time runs out. If it's not the intention of resign. Or look for work hard, instead it's absent. …"
34,49,1.0,"(Translated by Google) I checked the receipt number, the notification ""The goods have been brought by the courier (07.57)"" until the evening it didn't arrive.. Did the courier go to Bali first? …"," I checked the receipt number, the notification ""The goods have been brought by the courier (07.57"," I checked the receipt number, the notification ""The goods have been brought by the courier "
35,52,1.0,"(Translated by Google) Surabaya - Sidoarjo 3 days before.. Another delivery service for 1 day even though both are free shipping. The pick-up takes all day long, the transit is also long, the courier delivery process takes too long. Is …"," Surabaya - Sidoarjo 3 days before.. Another delivery service for 1 day even though both are free shipping. The pick-up takes all day long, the transit is also long, the courier delivery process takes too long. Is …"," Surabaya - Sidoarjo 3 days before.. Another delivery service for 1 day even though both are free shipping. The pick-up takes all day long, the transit is also long, the courier delivery process takes too long. Is …"
36,53,1.0,"(Translated by Google) 2 times using this service. And 2 times also a lot of trouble and drama. it could be wrong to send it to someone's house. So far, my address hasn't changed, and it's really bad. When I looked for the package, it was …"," 2 times using this service. And 2 times also a lot of trouble and drama. it could be wrong to send it to someone's house. So far, my address hasn't changed, and it's really bad. When I looked for the package, it was …"," 2 times using this service. And 2 times also a lot of trouble and drama. it could be wrong to send it to someone's house. So far, my address hasn't changed, and it's really bad. When I looked for the package, it was …"
37,54,1.0,(Translated by Google) It's bad shope express.. Item not received... But a notification appears that the item has been received. …, It's bad shope express.. Item not received... But a notification appears that the item has been received. …, It's bad shope express.. Item not received... But a notification appears that the item has been received. …
38,55,1.0,(Translated by Google) Please for delivery if no one tries to contact the recipient...the address also includes the recipient's number...other expeditions such as jne jnt sicepat always contact if no one is there... …, Please for delivery if no one tries to contact the recipient...the address also includes the recipient's number...other expeditions such as jne jnt sicepat always contact if no one is there... …, Please for delivery if no one tries to contact the recipient...the address also includes the recipient's number...other expeditions such as jne jnt sicepat always contact if no one is there... …
39,56,5.0,(Translated by Google) Good x  (Original) Bagus x, Good x  (Original, Good x  
40,57,1.0,(Translated by Google) very slow delivery  (Original) lemot parah pengirimannya, very slow delivery  (Original, very slow delivery  
41,58,5.0,(Translated by Google) Mantapsss  (Original) Mantapsss, Mantapsss  (Original, Mantapsss  
42,59,5.0,(Translated by Google) Shopee Express  (Original) Shopee Express, Shopee Express  (Original, Shopee Express  
43,60,1.0,(Translated by Google) Too  (Original) Terlalu, Too  (Original, Too  
44,61,1.0,"(Translated by Google) The package didn't arrive, the wrong thing was sent, there is no contact number. really bad …"," The package didn't arrive, the wrong thing was sent, there is no contact number. really bad …"," The package didn't arrive, the wrong thing was sent, there is no contact number. really bad …"
45,62,1.0,"(Translated by Google) The person who sent my item was too undisciplined, as long as I just left my item with someone I didn't know. And so far I haven't received the item, but it says on shopee that the item has been received but I haven't …"," The person who sent my item was too undisciplined, as long as I just left my item with someone I didn't know. And so far I haven't received the item, but it says on shopee that the item has been received but I haven't …"," The person who sent my item was too undisciplined, as long as I just left my item with someone I didn't know. And so far I haven't received the item, but it says on shopee that the item has been received but I haven't …"
46,65,1.0,"(Translated by Google) It's slow,, waiting since morning until now has not arrived,,, indeed the courier doesn't know the highway huh …"," It's slow,, waiting since morning until now has not arrived,,, indeed the courier doesn't know the highway huh …"," It's slow,, waiting since morning until now has not arrived,,, indeed the courier doesn't know the highway huh …"
47,66,1.0,"(Translated by Google) If you haven't been able to make your own delivery service, don't make it, boss, fix the system first First Recruit Employees to Deliver Packages.. …"," If you haven't been able to make your own delivery service, don't make it, boss, fix the system first First Recruit Employees to Deliver Packages.. …"," If you haven't been able to make your own delivery service, don't make it, boss, fix the system first First Recruit Employees to Deliver Packages.. …"
48,67,1.0,(Translated by Google) slow  (Original) Lelet, slow  (Original, slow  
49,68,1.0,(Translated by Google) Slow down abisssss  (Original) Lelet abissssss, Slow down abisssss  (Original, Slow down abisssss  
50,69,1.0,"(Translated by Google) The courier rescheduled without confirmation from the buyer, not very professional even though there were people at home. And no incoming messages at all …"," The courier rescheduled without confirmation from the buyer, not very professional even though there were people at home. And no incoming messages at all …"," The courier rescheduled without confirmation from the buyer, not very professional even though there were people at home. And no incoming messages at all …"
51,70,3.0,"(Translated by Google) Just came here for an interview, and it turned out to be in the wrong place, DC should not be HUB. There is no waiting room, so it's hot outside. ️ …"," Just came here for an interview, and it turned out to be in the wrong place, DC should not be HUB. There is no waiting room, so it's hot outside. ️ …"," Just came here for an interview, and it turned out to be in the wrong place, DC should not be HUB. There is no waiting room, so it's hot outside. ️ …"
52,71,1.0,(Translated by Google) Slow  (Original) Lemot, Slow  (Original, Slow  
53,72,1.0,"(Translated by Google) It took a long time to arrive, not according to the date! …"," It took a long time to arrive, not according to the date! …"," It took a long time to arrive, not according to the date! …"
54,73,5.0,(Translated by Google) Courier gathering place and shope warehousing  (Original) …, Courier gathering place and shope warehousing  (Original, Courier gathering place and shope warehousing  
55,74,1.0,"(Translated by Google) Send goods from Surabaya to Kota Kediri for more than 4 days, the goods have not arrived, even when the goods are checked through Ngawi. Wow, so slow what are you doing? …"," Send goods from Surabaya to Kota Kediri for more than 4 days, the goods have not arrived, even when the goods are checked through Ngawi. Wow, so slow what are you doing? …"," Send goods from Surabaya to Kota Kediri for more than 4 days, the goods have not arrived, even when the goods are checked through Ngawi. Wow, so slow what are you doing? …"
56,75,2.0,(Translated by Google) It's so lame. I'm tired  (Original) Lelet bangeeetttt . Kapok deh, It's so lame. I'm tired  (Original, It's so lame. I'm tired  
57,76,1.0,"(Translated by Google) DELIVERY SERVICE IS NOT CLEAR. The payment is the same as the other expedition cake but it's slow, sorry!! …"," DELIVERY SERVICE IS NOT CLEAR. The payment is the same as the other expedition cake but it's slow, sorry!! …"," DELIVERY SERVICE IS NOT CLEAR. The payment is the same as the other expedition cake but it's slow, sorry!! …"
58,77,2.0,(Translated by Google) Already brought the package there but was told to go to raya park... Well... …, Already brought the package there but was told to go to raya park... Well... …, Already brought the package there but was told to go to raya park... Well... …
59,78,5.0,"(Translated by Google) Thank God it really helps in the Shoppi application especially during a pandemic like this, thank you …"," Thank God it really helps in the Shoppi application especially during a pandemic like this, thank you …"," Thank God it really helps in the Shoppi application especially during a pandemic like this, thank you …"
60,80,1.0,"(Translated by Google) This expedition is really crazy, why is there this expedition? Very bad service, really slow!!! Is it true that one of the SOPs of this expedition is to deliver goods for a very long time and does not prioritize …"," This expedition is really crazy, why is there this expedition? Very bad service, really slow!!! Is it true that one of the SOPs of this expedition is to deliver goods for a very long time and does not prioritize …"," This expedition is really crazy, why is there this expedition? Very bad service, really slow!!! Is it true that one of the SOPs of this expedition is to deliver goods for a very long time and does not prioritize …"
61,81,1.0,"(Translated by Google) THE PACKAGE HAS BEEN ONE MORE WEEK OF USING THE SHOPEE EXPRESS IT HAVE NOT HAVE ARRIVED, EVEN THOUGH THE CITY IS NEXT …"," THE PACKAGE HAS BEEN ONE MORE WEEK OF USING THE SHOPEE EXPRESS IT HAVE NOT HAVE ARRIVED, EVEN THOUGH THE CITY IS NEXT …"," THE PACKAGE HAS BEEN ONE MORE WEEK OF USING THE SHOPEE EXPRESS IT HAVE NOT HAVE ARRIVED, EVEN THOUGH THE CITY IS NEXT …"
62,83,1.0,"(Translated by Google) ID019027516358 receipt number, the package was completed but there was no delivery of the kermh package, it should have been delivered first and then finished so that buyers don't contact here and there, it's scary …"," ID019027516358 receipt number, the package was completed but there was no delivery of the kermh package, it should have been delivered first and then finished so that buyers don't contact here and there, it's scary …"," ID019027516358 receipt number, the package was completed but there was no delivery of the kermh package, it should have been delivered first and then finished so that buyers don't contact here and there, it's scary …"
63,85,1.0,(Translated by Google) Lemoooooot mot ....  (Original) Lemoooooot mot...., Lemoooooot mot ....  (Original, Lemoooooot mot ....  
64,86,1.0,(Translated by Google) the slowest delivery service heuhuehuehue  (Original) …, the slowest delivery service heuhuehuehue  (Original, the slowest delivery service heuhuehuehue  
65,87,1.0,(Translated by Google) slow  (Original) Lelet, slow  (Original, slow  
66,88,1.0,"(Translated by Google) Oh my goodness, when I opened Google the rating was really bad.. I haven't received the item but there is a notification that the order has been received.. Where is there no contact that can be contacted.. I have to …"," Oh my goodness, when I opened Google the rating was really bad.. I haven't received the item but there is a notification that the order has been received.. Where is there no contact that can be contacted.. I have to …"," Oh my goodness, when I opened Google the rating was really bad.. I haven't received the item but there is a notification that the order has been received.. Where is there no contact that can be contacted.. I have to …"
67,89,1.0,"(Translated by Google) Delivery by shopee is the slowest than the others, it's only right if you lose the competition …"," Delivery by shopee is the slowest than the others, it's only right if you lose the competition …"," Delivery by shopee is the slowest than the others, it's only right if you lose the competition …"
68,90,1.0,(Translated by Google) This is a scam account gess.... i swear i'm not lying.... the problem is that i finished the chat and said i got a shopeepay gift when i asked for my username he didn't know and my number was immediately blocked …, This is a scam account gess.... i swear i'm not lying.... the problem is that i finished the chat and said i got a shopeepay gift when i asked for my username he didn't know and my number was immediately blocked …, This is a scam account gess.... i swear i'm not lying.... the problem is that i finished the chat and said i got a shopeepay gift when i asked for my username he didn't know and my number was immediately blocked …
69,95,5.0,(Translated by Google) The picture that  (Original) Gambaran yang, The picture that  (Original, The picture that  
70,96,1.0,(Translated by Google) warehouse turns out  (Original) gudang ternyata, warehouse turns out  (Original, warehouse turns out  
71,98,1.0,"(Translated by Google) from yesterday it said my package was delivered to its destination, but it didn't arrive, it said that the recipient wasn't even there, even though the door to the house was always open, bad !!!! …"," from yesterday it said my package was delivered to its destination, but it didn't arrive, it said that the recipient wasn't even there, even though the door to the house was always open, bad !!!! …"," from yesterday it said my package was delivered to its destination, but it didn't arrive, it said that the recipient wasn't even there, even though the door to the house was always open, bad !!!! …"
72,100,1.0,(Translated by Google) Densely crawls like a leech.  (Original) Padat merayap seperti lintah., Densely crawls like a leech.  (Original, Densely crawls like a leech.  
73,103,1.0,(Translated by Google) The shipping time is so long  (Original) Lama banget pengirimannya, The shipping time is so long  (Original, The shipping time is so long  
74,104,5.0,(Translated by Google) Experienced and AMANA  (Original) Berpengalaman and AMANA, Experienced and AMANA  (Original, Experienced and AMANA  
75,106,1.0,(Translated by Google) really cute shopee express courier. you can use a fake photo of receipt. I initially chatted with the seller how come the status of the item was received even though it had not yet arrived turns out to be someone …, really cute shopee express courier. you can use a fake photo of receipt. I initially chatted with the seller how come the status of the item was received even though it had not yet arrived turns out to be someone …, really cute shopee express courier. you can use a fake photo of receipt. I initially chatted with the seller how come the status of the item was received even though it had not yet arrived turns out to be someone …
76,107,5.0,"(Translated by Google) Because it failed to send to the original destination address, I took the initiative to the Hub. Service OK. Communicative courier, calls many times...responsibility for delivery...Good …"," Because it failed to send to the original destination address, I took the initiative to the Hub. Service OK. Communicative courier, calls many times...responsibility for delivery...Good …"," Because it failed to send to the original destination address, I took the initiative to the Hub. Service OK. Communicative courier, calls many times...responsibility for delivery...Good …"
77,108,5.0,(Translated by Google) Is there any job vacancies?  (Original) Ada info lowongan ngak mas?, Is there any job vacancies?  (Original, Is there any job vacancies?  
78,109,1.0,"(Translated by Google) Where has my package not been received, how come the status is successful???? …"," Where has my package not been received, how come the status is successful???? …"," Where has my package not been received, how come the status is successful???? …"
79,112,1.0,"(Translated by Google) From the last date the delivery date of 12 weeks has not arrived, Sampek is currently being tracked back by a courier. A, Klaw doesn't intend to be a courier. …"," From the last date the delivery date of 12 weeks has not arrived, Sampek is currently being tracked back by a courier. A, Klaw doesn't intend to be a courier. …"," From the last date the delivery date of 12 weeks has not arrived, Sampek is currently being tracked back by a courier. A, Klaw doesn't intend to be a courier. …"
80,113,2.0,"(Translated by Google) It's been 5 days hasn't come the right one, jkt-sby dad was dug come or not, want to use Eid, regret using Shopee Express …"," It's been 5 days hasn't come the right one, jkt-sby dad was dug come or not, want to use Eid, regret using Shopee Express …"," It's been 5 days hasn't come the right one, jkt-sby dad was dug come or not, want to use Eid, regret using Shopee Express …"
81,116,1.0,(Translated by Google) This is really a shopee express regret using this bet Usually using JNT is really fast. Please improve the performance again so that …, This is really a shopee express regret using this bet Usually using JNT is really fast. Please improve the performance again so that …, This is really a shopee express regret using this bet Usually using JNT is really fast. Please improve the performance again so that …
82,117,1.0,"(Translated by Google) Please please send my package even though I haven't Nerima yet but the package has been received, please send us the same ""no harm to each other …"," Please please send my package even though I haven't Nerima yet but the package has been received, please send us the same ""no harm to each other …"," Please please send my package even though I haven't Nerima yet but the package has been received, please send us the same ""no harm to each other …"
83,118,1.0,"(Translated by Google) Yesterday using Shopee Express when shopping at Shopee, the package was sent all day to the recipient's address, until 9 pm suddenly the package was just received by the courier, even though I had not received the …"," Yesterday using Shopee Express when shopping at Shopee, the package was sent all day to the recipient's address, until 9 pm suddenly the package was just received by the courier, even though I had not received the …"," Yesterday using Shopee Express when shopping at Shopee, the package was sent all day to the recipient's address, until 9 pm suddenly the package was just received by the courier, even though I had not received the …"
84,119,1.0,"(Translated by Google) Disappointedaaaaaaa pwolll, package slowttttttttttt Gatau what, if I really need it. Bad oath. I'm lazy …"," Disappointedaaaaaaa pwolll, package slowttttttttttt Gatau what, if I really need it. Bad oath. I'm lazy …"," Disappointedaaaaaaa pwolll, package slowttttttttttt Gatau what, if I really need it. Bad oath. I'm lazy …"
85,120,2.0,"(Translated by Google) It's so long, it's original ... it's always a long time to pkek this service huuuuuhuuu …"," It's so long, it's original ... it's always a long time to pkek this service huuuuuhuuu …"," It's so long, it's original ... it's always a long time to pkek this service huuuuuhuuu …"
86,121,1.0,"(Translated by Google) long delivery! shopee delivery service can not be selected instead automatically using this, yes, it's jammed in Surabaya. The expedition had no intention. …"," long delivery! shopee delivery service can not be selected instead automatically using this, yes, it's jammed in Surabaya. The expedition had no intention. …"," long delivery! shopee delivery service can not be selected instead automatically using this, yes, it's jammed in Surabaya. The expedition had no intention. …"
87,123,1.0,"(Translated by Google) DELIVERY IS NOT CLEAR AH BEFORE SURABAYA TO MALANG Usually this SMPE DAY FOR 4 days, it's not clear what's going on in Surabaya, what's going on, ah, just fix it, the service is annoying …"," DELIVERY IS NOT CLEAR AH BEFORE SURABAYA TO MALANG Usually this SMPE DAY FOR 4 days, it's not clear what's going on in Surabaya, what's going on, ah, just fix it, the service is annoying …"," DELIVERY IS NOT CLEAR AH BEFORE SURABAYA TO MALANG Usually this SMPE DAY FOR 4 days, it's not clear what's going on in Surabaya, what's going on, ah, just fix it, the service is annoying …"
88,124,1.0,"(Translated by Google) The delivery status by the courier but the delivery status suddenly changes the problem package is stored in the warehouse, what's the story? …"," The delivery status by the courier but the delivery status suddenly changes the problem package is stored in the warehouse, what's the story? …"," The delivery status by the courier but the delivery status suddenly changes the problem package is stored in the warehouse, what's the story? …"
89,126,1.0,(Translated by Google) Chip info  (Original) Info cip, Chip info  (Original, Chip info  
90,128,1.0,"(Translated by Google) This item has been courier since noon, I can't receive it .. …"," This item has been courier since noon, I can't receive it .. …"," This item has been courier since noon, I can't receive it .. …"
91,129,1.0,"(Translated by Google) My order didn't reach me, even though the status was received. Better if it takes a long time the brang will still arrive. This item doesn't know where else (lost) …"," My order didn't reach me, even though the status was received. Better if it takes a long time the brang will still arrive. This item doesn't know where else (lost"," My order didn't reach me, even though the status was received. Better if it takes a long time the brang will still arrive. This item doesn't know where else "
92,132,1.0,(Translated by Google) 👎 bad shopee  (Original) 👎 parah shopee, 👎 bad shopee  (Original, 👎 bad shopee  
93,133,1.0,"(Translated by Google) Sby to Sidoarjo for 3 days, my goodness .... 👎👎👎  (Original) …"," Sby to Sidoarjo for 3 days, my goodness .... 👎👎👎  (Original"," Sby to Sidoarjo for 3 days, my goodness .... 👎👎👎  "
94,134,3.0,(Translated by Google) Crowded regularly  (Original) Rame teratur, Crowded regularly  (Original, Crowded regularly  
95,136,1.0,(Translated by Google) Pay attention to the welfare of the courier ... Per package it only pays 1400 which people can just refuse to pay for the goods and take time to pay for the goods …, Pay attention to the welfare of the courier ... Per package it only pays 1400 which people can just refuse to pay for the goods and take time to pay for the goods …, Pay attention to the welfare of the courier ... Per package it only pays 1400 which people can just refuse to pay for the goods and take time to pay for the goods …
96,139,1.0,"(Translated by Google) Really annoyed and disappointed with Shopee Express, SBY's delivery was really slow. Admin is chatting, you don't reply, you don't call it. I have given the spare to order online so it is not tight, it's still just …"," Really annoyed and disappointed with Shopee Express, SBY's delivery was really slow. Admin is chatting, you don't reply, you don't call it. I have given the spare to order online so it is not tight, it's still just …"," Really annoyed and disappointed with Shopee Express, SBY's delivery was really slow. Admin is chatting, you don't reply, you don't call it. I have given the spare to order online so it is not tight, it's still just …"
97,140,5.0,(Translated by Google) The goods come according to estimates😍  The courier is friendly and always confirms …, The goods come according to estimates😍  The courier is friendly and always confirms …, The goods come according to estimates😍  The courier is friendly and always confirms …
98,141,1.0,(Translated by Google) slow  (Original) lambat, slow  (Original, slow  
99,142,1.0,"(Translated by Google) sda-sby how come 3 days? really far, huh? even though the item is important …"," sda-sby how come 3 days? really far, huh? even though the item is important …"," sda-sby how come 3 days? really far, huh? even though the item is important …"
100,143,1.0,"(Translated by Google) It took a long time to send, you can't choose what to send to use at Shopee, please improve the delivery again, the order period in North Jakarta continues to stop in West Jakarta until e 3 days😏 …"," It took a long time to send, you can't choose what to send to use at Shopee, please improve the delivery again, the order period in North Jakarta continues to stop in West Jakarta until e 3 days😏 …"," It took a long time to send, you can't choose what to send to use at Shopee, please improve the delivery again, the order period in North Jakarta continues to stop in West Jakarta until e 3 days😏 …"
