,index,rating,caption,middle,reviews
19,25,5.0,(Translated by Google) Kerry branch near Bangrak market Park the car at the Chao Phraya Tower and go to the parking ticket stamp at Kerry went to deliver the documents today. I just know that now there is a …, Kerry branch near Bangrak market Park the car at the Chao Phraya Tower and go to the parking ticket stamp at Kerry went to deliver the documents today. I just know that now there is a …, Kerry branch near Bangrak market Park the car at the Chao Phraya Tower and go to the parking ticket stamp at Kerry went to deliver the documents today. I just know that now there is a …
20,26,1.0,(Translated by Google) very bad  (Original) สงของแย่มากพูดก๊ไม่ดี, very bad  (Original, very bad  
21,29,5.0,(Translated by Google) Very good service.  (Original) บริการดีมากครับ., Very good service.  (Original, Very good service.  
22,30,1.0,"(Translated by Google) Meet the delivery person at Bangkapi District Ramkhamhaeng doesn't speak well, so he speaks bluntly to his customers. met many times Can't beat the person who sent the flash. …"," Meet the delivery person at Bangkapi District Ramkhamhaeng doesn't speak well, so he speaks bluntly to his customers. met many times Can't beat the person who sent the flash. …"," Meet the delivery person at Bangkapi District Ramkhamhaeng doesn't speak well, so he speaks bluntly to his customers. met many times Can't beat the person who sent the flash. …"
23,31,1.0,(Translated by Google) You don't have to go to work with Kerry. because of being scolded by regular customers I cursed because The sender is a foreigner. Send the item to Thailand. Enter the correct name. The customer's phone number is …, You don't have to go to work with Kerry. because of being scolded by regular customers I cursed because The sender is a foreigner. Send the item to Thailand. Enter the correct name. The customer's phone number is …, You don't have to go to work with Kerry. because of being scolded by regular customers I cursed because The sender is a foreigner. Send the item to Thailand. Enter the correct name. The customer's phone number is …
24,32,5.0,(Translated by Google) Fast and convenient transportation well packaged equipment good mannered staff …, Fast and convenient transportation well packaged equipment good mannered staff …, Fast and convenient transportation well packaged equipment good mannered staff …
25,33,5.0,(Translated by Google) The only person who trusts to send a speedy disaster  (Original) เจ้าเดียวที่ไว้ใจส่งไวปบอยภัย, The only person who trusts to send a speedy disaster  (Original, The only person who trusts to send a speedy disaster  
26,37,4.0,(Translated by Google) Ok  (Original) ก็เครนะ, Ok  (Original, Ok  
27,39,1.0,(Translated by Google) waiting since morning Said I'd send the item today (I don't know when I'll send it to you) really sucks …, waiting since morning Said I'd send the item today (I don't know when I'll send it to you, waiting since morning Said I'd send the item today 
28,41,1.0,(Translated by Google) Call center staff provide very good service. But what makes the company look bad is Poor freight forwarders work like… Be aware that transport workers who are inattentive to work You're the one who puts the blame on …, Call center staff provide very good service. But what makes the company look bad is Poor freight forwarders work like… Be aware that transport workers who are inattentive to work You're the one who puts the blame on …, Call center staff provide very good service. But what makes the company look bad is Poor freight forwarders work like… Be aware that transport workers who are inattentive to work You're the one who puts the blame on …
29,44,1.0,"(Translated by Google) Why is it that when packing and delivering things, I always ask what's inside? …"," Why is it that when packing and delivering things, I always ask what's inside? …"," Why is it that when packing and delivering things, I always ask what's inside? …"
30,45,1.0,(Translated by Google) Green Dream man wearing glasses I drive very badly. …, Green Dream man wearing glasses I drive very badly. …, Green Dream man wearing glasses I drive very badly. …
31,48,1.0,(Translated by Google) Samaedam inventory is not working or not. I haven't sent items. Set girls 18/8/64 until today 22/8/64 items. I haven't sent a call to the call center. They told me to hurry up. I can't see it. I will send it. I will …, Samaedam inventory is not working or not. I haven't sent items. Set girls 18/8/64 until today 22/8/64 items. I haven't sent a call to the call center. They told me to hurry up. I can't see it. I will send it. I will …, Samaedam inventory is not working or not. I haven't sent items. Set girls 18/8/64 until today 22/8/64 items. I haven't sent a call to the call center. They told me to hurry up. I can't see it. I will send it. I will …
32,51,1.0,"(Translated by Google) Terrible, slow delivery, not available, it's closed.  (Original) …"," Terrible, slow delivery, not available, it's closed.  (Original"," Terrible, slow delivery, not available, it's closed.  "
33,54,1.0,"(Translated by Google) Very difficult to contact, call 1217 Pick it up and hang up Can't contact Delivery is very slow. Call any number but leave a message and receive it. Hang up immediately. …"," Very difficult to contact, call 1217 Pick it up and hang up Can't contact Delivery is very slow. Call any number but leave a message and receive it. Hang up immediately. …"," Very difficult to contact, call 1217 Pick it up and hang up Can't contact Delivery is very slow. Call any number but leave a message and receive it. Hang up immediately. …"
34,55,1.0,"(Translated by Google) Lots of lottery services, call to coordinate, no one answers the phone. I don't know if the management has looked at the reviews. that customers have scolded me irresponsible …"," Lots of lottery services, call to coordinate, no one answers the phone. I don't know if the management has looked at the reviews. that customers have scolded me irresponsible …"," Lots of lottery services, call to coordinate, no one answers the phone. I don't know if the management has looked at the reviews. that customers have scolded me irresponsible …"
35,56,1.0,(Translated by Google) Call to ask if the items have been delivered from the branch or not. staff can't answer Are you crazy 😥😥😥😥😥 …, Call to ask if the items have been delivered from the branch or not. staff can't answer Are you crazy 😥😥😥😥😥 …, Call to ask if the items have been delivered from the branch or not. staff can't answer Are you crazy 😥😥😥😥😥 …
36,57,1.0,"(Translated by Google) Why it sucks, Kerry Fireworks, the rotten stuff doesn't deliver in the system. It says the phone number is not correct. Why does it take so long to deliver? Summary of rotten items and not delivered. …"," Why it sucks, Kerry Fireworks, the rotten stuff doesn't deliver in the system. It says the phone number is not correct. Why does it take so long to deliver? Summary of rotten items and not delivered. …"," Why it sucks, Kerry Fireworks, the rotten stuff doesn't deliver in the system. It says the phone number is not correct. Why does it take so long to deliver? Summary of rotten items and not delivered. …"
37,58,1.0,"(Translated by Google) Very bad service, delivery from Mae Sot on the 4th, arrived in Bangkok on the 9th at 3pm. It's rotten, bamboo shoots. …"," Very bad service, delivery from Mae Sot on the 4th, arrived in Bangkok on the 9th at 3pm. It's rotten, bamboo shoots. …"," Very bad service, delivery from Mae Sot on the 4th, arrived in Bangkok on the 9th at 3pm. It's rotten, bamboo shoots. …"
38,61,1.0,(Translated by Google) What is the call center for cats? Called and no one picked up... The delivery man works very hard. …, What is the call center for cats? Called and no one picked up... The delivery man works very hard. …, What is the call center for cats? Called and no one picked up... The delivery man works very hard. …
39,62,1.0,"(Translated by Google) It's so bad, it's still like this  (Original) …"," It's so bad, it's still like this  (Original"," It's so bad, it's still like this  "
40,63,1.0,(Translated by Google) Very bad. Sent items on the 29th day. I haven't arrived yet. I don't know what to do. …, Very bad. Sent items on the 29th day. I haven't arrived yet. I don't know what to do. …, Very bad. Sent items on the 29th day. I haven't arrived yet. I don't know what to do. …
41,64,1.0,"(Translated by Google) Very bad, called to come to me since July 1st. In the morning, I will come to send to you in the evening. I haven't received items until today. On the 2nd day, I still haven't received it yet. …"," Very bad, called to come to me since July 1st. In the morning, I will come to send to you in the evening. I haven't received items until today. On the 2nd day, I still haven't received it yet. …"," Very bad, called to come to me since July 1st. In the morning, I will come to send to you in the evening. I haven't received items until today. On the 2nd day, I still haven't received it yet. …"
42,65,1.0,"(Translated by Google) I saw that the PTT branch, Amphawa Phra Hai, valued in millions. The owner sent 28 boxes of amulets. But someone came to cancel the bill without asking for a card or any evidence. …"," I saw that the PTT branch, Amphawa Phra Hai, valued in millions. The owner sent 28 boxes of amulets. But someone came to cancel the bill without asking for a card or any evidence. …"," I saw that the PTT branch, Amphawa Phra Hai, valued in millions. The owner sent 28 boxes of amulets. But someone came to cancel the bill without asking for a card or any evidence. …"
43,66,1.0,"(Translated by Google) 1. Your company's work is very irresponsible since 1.1 Recording only 10 digit phone numbers, you still record wrongly and also blame customers for not matching numbers. even though Kerry was the one who made …"," 1. Your company's work is very irresponsible since 1.1 Recording only 10 digit phone numbers, you still record wrongly and also blame customers for not matching numbers. even though Kerry was the one who made …"," 1. Your company's work is very irresponsible since 1.1 Recording only 10 digit phone numbers, you still record wrongly and also blame customers for not matching numbers. even though Kerry was the one who made …"
44,68,4.0,"(Translated by Google) of the week and it hasn't arrived yet If you can't send it, don't pick it up. …"," of the week and it hasn't arrived yet If you can't send it, don't pick it up. …"," of the week and it hasn't arrived yet If you can't send it, don't pick it up. …"
45,69,1.0,(Translated by Google) Kerry employee came to pick up the product from today 22 July '21 and lost the product. Contacted the employee to inform that the claim has been sent. Call the subject to inform that the officer will call back. From 6 …, Kerry employee came to pick up the product from today 22 July '21 and lost the product. Contacted the employee to inform that the claim has been sent. Call the subject to inform that the officer will call back. From 6 …, Kerry employee came to pick up the product from today 22 July '21 and lost the product. Contacted the employee to inform that the claim has been sent. Call the subject to inform that the officer will call back. From 6 …
46,70,2.0,"(Translated by Google) Who told Kerry the service is good and fast, send the item back, it takes 4 days, plus the shipping fee is expensive. …"," Who told Kerry the service is good and fast, send the item back, it takes 4 days, plus the shipping fee is expensive. …"," Who told Kerry the service is good and fast, send the item back, it takes 4 days, plus the shipping fee is expensive. …"
47,71,1.0,"(Translated by Google) How big do you have to be? The box is broken. secretly change the box And the stuff inside is this messy But there is no call to notify, but can send SMS saying that the claim is difficult to claim. The employee threw …"," How big do you have to be? The box is broken. secretly change the box And the stuff inside is this messy But there is no call to notify, but can send SMS saying that the claim is difficult to claim. The employee threw …"," How big do you have to be? The box is broken. secretly change the box And the stuff inside is this messy But there is no call to notify, but can send SMS saying that the claim is difficult to claim. The employee threw …"
48,72,5.0,"(Translated by Google) The delivery point of Kerry Bangrak branch is in front of the Chao Phraya Building, but Kerry's head office is located on the Chao Phraya Building behind Robinson Bangrak. …"," The delivery point of Kerry Bangrak branch is in front of the Chao Phraya Building, but Kerry's head office is located on the Chao Phraya Building behind Robinson Bangrak. …"," The delivery point of Kerry Bangrak branch is in front of the Chao Phraya Building, but Kerry's head office is located on the Chao Phraya Building behind Robinson Bangrak. …"
49,74,1.0,"(Translated by Google) Ordered and wanted to return the product. because the product does not match the order Contact the office to check where the product came from. because we send it as cash on delivery In fact, the head office must have …"," Ordered and wanted to return the product. because the product does not match the order Contact the office to check where the product came from. because we send it as cash on delivery In fact, the head office must have …"," Ordered and wanted to return the product. because the product does not match the order Contact the office to check where the product came from. because we send it as cash on delivery In fact, the head office must have …"
50,77,1.0,"Extremely slow delivery. Our parcel arrived at the final distribution depot and then took 4 days to be delivered - walking to collect the parcel at the depot would have been 8 times faster than Kerry's ""express"" service. …",,"Extremely slow delivery. Our parcel arrived at the final distribution depot and then took 4 days to be delivered - walking to collect the parcel at the depot would have been 8 times faster than Kerry's ""express"" service. …"
51,78,1.0,"(Translated by Google) Don't let the stars send items from Samut Prakan. Come to Ram Inthra. Send on 30 Nov. July 64 until today 2 June. Year 64 I haven't received it, but it's been delivered for 2 days. We wait to receive it. Going out far …"," Don't let the stars send items from Samut Prakan. Come to Ram Inthra. Send on 30 Nov. July 64 until today 2 June. Year 64 I haven't received it, but it's been delivered for 2 days. We wait to receive it. Going out far …"," Don't let the stars send items from Samut Prakan. Come to Ram Inthra. Send on 30 Nov. July 64 until today 2 June. Year 64 I haven't received it, but it's been delivered for 2 days. We wait to receive it. Going out far …"
52,79,1.0,(Translated by Google) The location is not the same as the picture. Other companies didn't take it for next time …, The location is not the same as the picture. Other companies didn't take it for next time …, The location is not the same as the picture. Other companies didn't take it for next time …
53,80,1.0,"(Translated by Google) Did not send the item and pressed in the app randomly saying that the recipient cannot be contacted, that is, if you want to do this Close the company. Let's go. If management can't manage people, it sucks. …"," Did not send the item and pressed in the app randomly saying that the recipient cannot be contacted, that is, if you want to do this Close the company. Let's go. If management can't manage people, it sucks. …"," Did not send the item and pressed in the app randomly saying that the recipient cannot be contacted, that is, if you want to do this Close the company. Let's go. If management can't manage people, it sucks. …"
54,82,1.0,"(Translated by Google) I would like to ask, what is the purpose of doing service business? Please help me find a question that says that I can't send documents, copies of national ID cards via transport. Call to the office and talk to the …"," I would like to ask, what is the purpose of doing service business? Please help me find a question that says that I can't send documents, copies of national ID cards via transport. Call to the office and talk to the …"," I would like to ask, what is the purpose of doing service business? Please help me find a question that says that I can't send documents, copies of national ID cards via transport. Call to the office and talk to the …"
55,84,1.0,"(Translated by Google) The delivery staff let us go out to pick up things in front of the alley. Tell the dog that the dog is afraid that the dog is afraid to send it. What is it? Another company, he has never seen it bite anyone. post …"," The delivery staff let us go out to pick up things in front of the alley. Tell the dog that the dog is afraid that the dog is afraid to send it. What is it? Another company, he has never seen it bite anyone. post …"," The delivery staff let us go out to pick up things in front of the alley. Tell the dog that the dog is afraid that the dog is afraid to send it. What is it? Another company, he has never seen it bite anyone. post …"
56,85,1.0,"(Translated by Google) Mother sent the item since the 13th day, the 17th, and has not received the item, is very confused, call 1271, about 10 more per line, top up, call 100 baht until the money runs out, it still does not receive. …"," Mother sent the item since the 13th day, the 17th, and has not received the item, is very confused, call 1271, about 10 more per line, top up, call 100 baht until the money runs out, it still does not receive. …"," Mother sent the item since the 13th day, the 17th, and has not received the item, is very confused, call 1271, about 10 more per line, top up, call 100 baht until the money runs out, it still does not receive. …"
57,86,1.0,"(Translated by Google) Terrible, delivery 11/5/64, said it will arrive in Pattaya on the 13th, this one has not arrived yet, check the status in the same place for 3 days, ask who thrown to each other. There are no other channels to contact …"," Terrible, delivery 11/5/64, said it will arrive in Pattaya on the 13th, this one has not arrived yet, check the status in the same place for 3 days, ask who thrown to each other. There are no other channels to contact …"," Terrible, delivery 11/5/64, said it will arrive in Pattaya on the 13th, this one has not arrived yet, check the status in the same place for 3 days, ask who thrown to each other. There are no other channels to contact …"
58,87,1.0,"(Translated by Google) How can the heel of the product be preserved? Calling the call center, I am completely suspicious. How can I claim that I cannot contact the recipient? …"," How can the heel of the product be preserved? Calling the call center, I am completely suspicious. How can I claim that I cannot contact the recipient? …"," How can the heel of the product be preserved? Calling the call center, I am completely suspicious. How can I claim that I cannot contact the recipient? …"
59,88,1.0,"(Translated by Google) Pathum Branch Clerk Write the correct address Except postal code The delivery staff called to ask and informed them. No one contacted Check the status, it says Waiting to verify the correct address from the sender / …"," Pathum Branch Clerk Write the correct address Except postal code The delivery staff called to ask and informed them. No one contacted Check the status, it says Waiting to verify the correct address from the sender / …"," Pathum Branch Clerk Write the correct address Except postal code The delivery staff called to ask and informed them. No one contacted Check the status, it says Waiting to verify the correct address from the sender / …"
60,89,1.0,"(Translated by Google) 3 days of not yet arrived Food is just rotten And tell me to send as well Up in the system that the employee is delivering, this has been 3 days and sucks, the call center number does not call. …"," 3 days of not yet arrived Food is just rotten And tell me to send as well Up in the system that the employee is delivering, this has been 3 days and sucks, the call center number does not call. …"," 3 days of not yet arrived Food is just rotten And tell me to send as well Up in the system that the employee is delivering, this has been 3 days and sucks, the call center number does not call. …"
61,90,1.0,"(Translated by Google) So bad, waste of money, urgent delivery Will be on the 3rd day and have not yet sent the item to proceed to check the status of in Photharam What are you going to do in different ways? Don't you check the delivery …"," So bad, waste of money, urgent delivery Will be on the 3rd day and have not yet sent the item to proceed to check the status of in Photharam What are you going to do in different ways? Don't you check the delivery …"," So bad, waste of money, urgent delivery Will be on the 3rd day and have not yet sent the item to proceed to check the status of in Photharam What are you going to do in different ways? Don't you check the delivery …"
62,91,1.0,"(Translated by Google) Very bad. During this time, the delivery was delayed, not as scheduled. There was no notification at all. Called and waited for the last hour before talking. Bad to everything Trust me all this time, I hate each …"," Very bad. During this time, the delivery was delayed, not as scheduled. There was no notification at all. Called and waited for the last hour before talking. Bad to everything Trust me all this time, I hate each …"," Very bad. During this time, the delivery was delayed, not as scheduled. There was no notification at all. Called and waited for the last hour before talking. Bad to everything Trust me all this time, I hate each …"
63,92,5.0,"(Translated by Google) I went to deliver the goods early in the morning, so I used the Rabbit points. Redeem 50 baht for delivery fee and pay with Rabbit at Kerry, very nice 😘 …"," I went to deliver the goods early in the morning, so I used the Rabbit points. Redeem 50 baht for delivery fee and pay with Rabbit at Kerry, very nice 😘 …"," I went to deliver the goods early in the morning, so I used the Rabbit points. Redeem 50 baht for delivery fee and pay with Rabbit at Kerry, very nice 😘 …"
64,93,1.0,"(Translated by Google) Very bad, our box is damaged, the jack gave us a new one, but took a lot of ours. Our items are not very complete. …"," Very bad, our box is damaged, the jack gave us a new one, but took a lot of ours. Our items are not very complete. …"," Very bad, our box is damaged, the jack gave us a new one, but took a lot of ours. Our items are not very complete. …"
65,94,1.0,Don’t call it Live Chat when it comes with AI. They can not answer me any questions I want to know. It’s useless,,Don’t call it Live Chat when it comes with AI. They can not answer me any questions I want to know. It’s useless
66,95,1.0,(Translated by Google) Running is very slow compared to other transport. Suggest shops to change to a new bus station …, Running is very slow compared to other transport. Suggest shops to change to a new bus station …, Running is very slow compared to other transport. Suggest shops to change to a new bus station …
67,96,1.0,"(Translated by Google) Wait for fresh fruit to send status. Employees are coming and sending since 19 until 20 shift has passed and no one has contacted yet. Probably rot in the box, maybe? …"," Wait for fresh fruit to send status. Employees are coming and sending since 19 until 20 shift has passed and no one has contacted yet. Probably rot in the box, maybe? …"," Wait for fresh fruit to send status. Employees are coming and sending since 19 until 20 shift has passed and no one has contacted yet. Probably rot in the box, maybe? …"
68,97,1.0,"(Translated by Google) Terrible staff Make an appointment to go send But not going now, not calling to inform …"," Terrible staff Make an appointment to go send But not going now, not calling to inform …"," Terrible staff Make an appointment to go send But not going now, not calling to inform …"
69,102,4.0,(Translated by Google) Good service  (Original) ับริการดี, Good service  (Original, Good service  
70,103,1.0,"(Translated by Google) This company is probably the worst and in terms of shipping, if compared to J&T and Plash, the two of them are much better. The delivery itself is not cheap. I have been discontinued. Many rounds. Lose the feeling. …"," This company is probably the worst and in terms of shipping, if compared to J&T and Plash, the two of them are much better. The delivery itself is not cheap. I have been discontinued. Many rounds. Lose the feeling. …"," This company is probably the worst and in terms of shipping, if compared to J&T and Plash, the two of them are much better. The delivery itself is not cheap. I have been discontinued. Many rounds. Lose the feeling. …"
71,104,3.0,"(Translated by Google) Kerry Ban Phe, Rayong Province, close for lunch L. Need to find a place to send elsewhere …"," Kerry Ban Phe, Rayong Province, close for lunch L. Need to find a place to send elsewhere …"," Kerry Ban Phe, Rayong Province, close for lunch L. Need to find a place to send elsewhere …"
72,106,1.0,"(Translated by Google) Send fruit to Kerry Nakhon Nayok The system said it will be until March 7, 64, but it turns out that there are no employees to deliver goods to customers according to Kerry. There are a lot of products lately, causing …"," Send fruit to Kerry Nakhon Nayok The system said it will be until March 7, 64, but it turns out that there are no employees to deliver goods to customers according to Kerry. There are a lot of products lately, causing …"," Send fruit to Kerry Nakhon Nayok The system said it will be until March 7, 64, but it turns out that there are no employees to deliver goods to customers according to Kerry. There are a lot of products lately, causing …"
73,107,5.0,(Translated by Google) A more security system than an airport  (Original) ระบบความปลดภัยยิ่งกว่าสนามบิน, A more security system than an airport  (Original, A more security system than an airport  
74,109,3.0,"(Translated by Google) Okay, the first time to send.  (Original) โอเครค่ะ ครั้งแรกในการส่ง"," Okay, the first time to send.  (Original"," Okay, the first time to send.  "
75,110,1.0,"(Translated by Google) Notifying that the product will be delivered today, not waiting until late, the call will not accept this work, service or work. …"," Notifying that the product will be delivered today, not waiting until late, the call will not accept this work, service or work. …"," Notifying that the product will be delivered today, not waiting until late, the call will not accept this work, service or work. …"
76,111,1.0,"(Translated by Google) There is a product that needs to be delivered today, parcel number shp xxxxxxxxx, tracking delivery status, saying that it has been shipped. With a signature But I haven't received it yet. There are people waiting to …"," There is a product that needs to be delivered today, parcel number shp xxxxxxxxx, tracking delivery status, saying that it has been shipped. With a signature But I haven't received it yet. There are people waiting to …"," There is a product that needs to be delivered today, parcel number shp xxxxxxxxx, tracking delivery status, saying that it has been shipped. With a signature But I haven't received it yet. There are people waiting to …"
77,112,4.0,"(Translated by Google) Hello, I usually use the service of the nearest Kerry branch in Bangkok. It is always good .. But now I have to go to Pong Nam Ron, but still have to deliver the products to customers as before. Confidence in Kerry …"," Hello, I usually use the service of the nearest Kerry branch in Bangkok. It is always good .. But now I have to go to Pong Nam Ron, but still have to deliver the products to customers as before. Confidence in Kerry …"," Hello, I usually use the service of the nearest Kerry branch in Bangkok. It is always good .. But now I have to go to Pong Nam Ron, but still have to deliver the products to customers as before. Confidence in Kerry …"
78,113,1.0,"(Translated by Google) I called two rounds, the staff will follow me to wait until the evening has not yet called the staff to tell me when to send. …"," I called two rounds, the staff will follow me to wait until the evening has not yet called the staff to tell me when to send. …"," I called two rounds, the staff will follow me to wait until the evening has not yet called the staff to tell me when to send. …"
79,116,2.0,"(Translated by Google) Did not receive the item, but someone signed it. I do not know who. So why didn't the parcel call? …"," Did not receive the item, but someone signed it. I do not know who. So why didn't the parcel call? …"," Did not receive the item, but someone signed it. I do not know who. So why didn't the parcel call? …"
80,117,1.0,"(Translated by Google) Details checked That the product has arrived But the product did not see it. What do I have to do next? Sin started exporting from the 27th day. Today, day 7, and still haven't seen …"," Details checked That the product has arrived But the product did not see it. What do I have to do next? Sin started exporting from the 27th day. Today, day 7, and still haven't seen …"," Details checked That the product has arrived But the product did not see it. What do I have to do next? Sin started exporting from the 27th day. Today, day 7, and still haven't seen …"
