,word,count,clean1,Sentiment
173,green,1,green,Neutral
174,dream,1,dream,Positive
175,wearing,1,wearing,Neutral
176,glass,1,glass,Neutral
177,drive,1,drive,Neutral
178,available,1,available,Neutral
179,leave,1,leave,Negative
180,message,1,message,Neutral
181,immediately,1,immediately,Neutral
182,lottery,1,lottery,Neutral
183,coordinate,1,coordinate,Neutral
184,looked,1,looked,Neutral
185,review,1,review,Neutral
186,scolded,1,scolded,Neutral
187,firework,1,firework,Neutral
188,say,1,say,Neutral
189,correct,1,correct,Neutral
190,long,1,long,Neutral
191,summary,1,summary,Neutral
192,mae,1,mae,Neutral
193,sot,1,sot,Neutral
194,bamboo,1,bamboo,Neutral
195,cat,1,cat,Neutral
196,picked,1,picked,Neutral
197,hard,1,hard,Negative
198,evening,1,evening,Neutral
199,recording,1,recording,Neutral
200,digit,1,digit,Neutral
201,record,1,record,Neutral
202,wrongly,1,wrongly,Neutral
203,also,1,also,Neutral
204,matching,1,matching,Neutral
205,made,1,made,Neutral
206,came,1,came,Neutral
207,lost,1,lost,Negative
208,subject,1,subject,Neutral
209,officer,1,officer,Neutral
210,big,1,big,Neutral
211,secretly,1,secretly,Neutral
212,change,1,change,Neutral
213,inside,1,inside,Neutral
214,messy,1,messy,Negative
215,notify,1,notify,Neutral
216,sm,1,sm,Neutral
217,saying,1,saying,Neutral
218,threw,1,threw,Neutral
219,mother,1,mother,Neutral
220,per,1,per,Neutral
221,line,1,line,Neutral
222,top,1,top,Positive
223,run,1,run,Neutral
224,said,1,said,Neutral
225,pattaya,1,pattaya,Neutral
226,thrown,1,thrown,Neutral
227,channel,1,channel,Neutral
228,heel,1,heel,Neutral
229,preserved,1,preserved,Neutral
230,completely,1,completely,Neutral
231,suspicious,1,suspicious,Negative
232,recipient,1,recipient,Neutral
233,food,1,food,Neutral
234,delivering,1,delivering,Neutral
235,waste,1,waste,Negative
236,urgent,1,urgent,Positive
237,proceed,1,proceed,Neutral
238,photharam,1,photharam,Neutral
239,different,1,different,Neutral
240,way,1,way,Neutral
241,delayed,1,delayed,Negative
242,scheduled,1,scheduled,Neutral
243,notification,1,notification,Neutral
244,last,1,last,Neutral
245,hour,1,hour,Neutral
246,everything,1,everything,Neutral
247,hate,1,hate,Negative
248,damaged,1,damaged,Negative
249,jack,1,jack,Neutral
250,gave,1,gave,Neutral
251,new,1,new,Neutral
252,took,1,took,Neutral
253,complete,1,complete,Neutral
254,live,1,live,Neutral
255,chat,1,chat,Neutral
256,ai,1,ai,Neutral
257,question,1,question,Neutral
258,want,1,want,Positive
259,appointment,1,appointment,Neutral
260,go,1,go,Neutral
261,probably,1,probably,Neutral
262,term,1,term,Neutral
263,compared,1,compared,Neutral
264,jt,1,jt,Positive
265,plash,1,plash,Neutral
266,two,1,two,Neutral
267,better,1,better,Positive
268,cheap,1,cheap,Neutral
269,discontinued,1,discontinued,Neutral
270,round,1,round,Neutral
271,lose,1,lose,Negative
272,feeling,1,feeling,Positive
273,ban,1,ban,Negative
274,phe,1,phe,Neutral
275,lunch,1,lunch,Neutral
276,l,1,l,Positive
277,need,1,need,Neutral
278,elsewhere,1,elsewhere,Neutral
279,detail,1,detail,Neutral
280,checked,1,checked,Neutral
281,see,1,see,Neutral
282,next,1,next,Neutral
283,sin,1,sin,Negative
284,started,1,started,Neutral
285,exporting,1,exporting,Neutral
286,seen,1,seen,Neutral
287,arbitrary,1,arbitrary,Neutral
288,delay,1,delay,Negative
289,train,1,train,Neutral
290,overdue,1,overdue,Neutral
291,would,1,would,Neutral
292,silent,1,silent,Neutral
293,importantly,1,importantly,Positive
294,movement,1,movement,Neutral
295,nation,1,nation,Neutral
296,transportation,1,transportation,Neutral
297,extremely,1,extremely,Neutral
298,use,1,use,Neutral
299,worse,1,worse,Negative
300,december,1,december,Neutral
301,phuket,1,phuket,Neutral
302,tracking,1,tracking,Neutral
303,chaiyaphum,1,chaiyaphum,Neutral
304,yesterday,1,yesterday,Neutral
305,nine,1,nine,Neutral
306,oclock,1,oclock,Neutral
307,curry,1,curry,Neutral
308,latter,1,latter,Neutral
309,part,1,part,Neutral
310,suitable,1,suitable,Neutral
311,dropoff,1,dropoff,Neutral
312,drop,1,drop,Negative
313,ground,1,ground,Neutral
314,nice,1,nice,Positive
315,reach,1,reach,Neutral
316,grab,1,grab,Neutral
317,writing,1,writing,Neutral
318,asking,1,asking,Neutral
319,already,1,already,Neutral
320,right,1,right,Neutral
321,instead,1,instead,Neutral
322,ranting,1,ranting,Neutral
323,improve,1,improve,Positive
324,dog,1,dog,Neutral
325,envelope,1,envelope,Neutral
326,million,1,million,Neutral
327,freakin,1,freakin,Neutral
328,agency,1,agency,Neutral
329,plus,1,plus,Neutral
330,bang,1,bang,Neutral
331,kadi,1,kadi,Neutral
332,late,1,late,Neutral
333,week,1,week,Neutral
334,sikhio,1,sikhio,Neutral
335,department,1,department,Neutral
336,march,1,march,Neutral
337,april,1,april,Neutral
338,cut,1,cut,Negative
339,callcenter,1,callcenter,Neutral
340,accept,1,accept,Positive
341,matter,1,matter,Neutral
342,solve,1,solve,Positive
343,world,1,world,Neutral
344,high,1,high,Neutral
345,price,1,price,Neutral
